#     x:  y: 
0.140514    0.990079
0.998661  -0.0517353
0.171314    0.985217
-0.480468   -0.877012
0.444921     0.89557
-0.946398   -0.323003
-0.449883   -0.893087
-0.142165    0.989843
0.800809     0.59892
-0.996212   0.0869594
-0.902626    0.430425
-0.104843    0.994489
0.877527   -0.479527
-0.0560529   -0.998428
0.958766    0.284198
-0.551023     0.83449
-0.826247    0.563308
0.426517    -0.90448
-0.767934    -0.64053
-0.958704   -0.284405
0.993558    0.113324
-0.209761    0.977753
-0.343554    0.939133
-0.470403    0.882452
-0.483861   -0.875145
0.572186    0.820124
-0.22975     0.97325
0.954306   -0.298831
0.141709   -0.989908
0.0746457    -0.99721
-0.89453   -0.447008
-0.694502     0.71949
-0.254675   -0.967027
0.999889   0.0148991
