#     x:  y: 
0.646643    0.579782
0.692399  0.00623796
0.0284461    0.18498700.886986    0.45494600.668945    0.73311200.015948     0.66297
0.554203    0.471738
0.575209    0.160755
0.814037    0.596402
0.707079    0.375161
0.267027    0.790689
0.439935    0.726682
0.748353    0.161927
0.0495613   0.091526700.333542    0.937880.0.835321    0.310410.0.445663    0.954700.0.440629    0.722283
0.555056    0.371340.0.600163    0.828550.0.177417    0.427060.0.809188    0.809870.0.981692    0.621670.0.98289    0.599993
0.77417    0.116304
0.461614     0.16566
0.0758159   0.068773100.633456    0.36208400.0089678     0.14313
0.557099    0.763457
0.716102    0.647624
0.999844    0.95955400.91259    0.208409
0.639125    0.432949
