#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                   1             1.78231             1.78231                   0
                   2             1.79141             1.78686          0.00321811
                   3             1.81745             1.79706          0.00859695
                   4             1.81562              1.8017          0.00759706
                   5             1.80936             1.80323           0.0062302
                   6             1.79524              1.8019          0.00533238
                   7             1.77479             1.79802          0.00580929
                   8             1.76837             1.79432          0.00615302
                   9             1.78446             1.79322          0.00556603
                  10             1.82784             1.79668          0.00598984
                  11             1.81595             1.79844          0.00569552
                  12             1.81166             1.79954          0.00532639
                  13             1.82989             1.80187           0.0054043
                  14             1.85122              1.8054          0.00605983
                  15             1.85631             1.80879          0.00653755
                  16             1.81159             1.80897           0.0061313
                  17             1.79626             1.80822          0.00581598
                  18             1.81494             1.80859          0.00550484
                  19             1.76578             1.80634          0.00565746
                  20             1.78289             1.80517          0.00549474
                  21             1.77551             1.80375          0.00541153
                  22             1.78429             1.80287          0.00523736
                  23             1.81464             1.80338          0.00503458
                  24             1.82066              1.8041          0.00487603
                  25             1.79099             1.80358          0.00470913
                  26             1.79526             1.80326          0.00453886
                  27             1.78911             1.80273          0.00440089
                  28             1.76185             1.80127          0.00447934
                  29             1.76643             1.80007          0.00448308
                  30             1.85848             1.80202          0.00473758
                  31             1.84782              1.8035          0.00480959
                  32             1.79819             1.80333          0.00466214
                  33             1.76026             1.80203          0.00470001
                  34              1.7982             1.80191          0.00456312
                  35             1.78689             1.80148          0.00445289
                  36             1.79034             1.80117          0.00433994
                  37             1.77846             1.80056          0.00426585
                  38             1.80695             1.80073          0.00415691
                  39             1.83163             1.80152          0.00412514
                  40             1.85397             1.80283          0.00422524
                  41             1.88879             1.80493           0.0046131
                  42             1.83996             1.80576          0.00457806
                  43             1.85997             1.80702          0.00464189
                  44             1.84793             1.80795          0.00462855
                  45             1.82812              1.8084          0.00454733
                  46             1.81477             1.80854          0.00445058
                  47             1.80121             1.80838          0.00435862
                  48             1.78027              1.8078          0.00430698
                  49             1.77123             1.80705          0.00428324
                  50             1.83006             1.80751          0.00422222
                  51             1.83834             1.80812          0.00418247
                  52             1.82731             1.80849          0.00411831
                  53             1.78049             1.80796          0.00407433
                  54             1.77402             1.80733          0.00404705
                  55             1.77657             1.80677          0.00401192
                  56             1.80734             1.80678          0.00394029
                  57             1.83051              1.8072          0.00389311
                  58              1.7875             1.80686          0.00384076
                  59             1.83698             1.80737          0.00380946
                  60              1.7926             1.80712          0.00375391
                  61             1.78388             1.80674          0.00371164
                  62              1.7616             1.80601           0.0037225
                  63             1.78128             1.80562          0.00368406
                  64             1.83246             1.80604           0.0036503
                  65             1.84165             1.80659          0.00363502
                  66              1.8287             1.80692          0.00359535
                  67              1.8655              1.8078          0.00364643
                  68             1.83346             1.80817          0.00361229
                  69              1.8022             1.80809          0.00356098
                  70             1.84399              1.8086          0.00354686
                  71             1.86352             1.80937          0.00358026
                  72             1.86277             1.81011          0.00360652
                  73              1.8718             1.81096          0.00365476
                  74             1.84931             1.81148          0.00364193
                  75             1.87096             1.81227          0.00367871
                  76             1.85864             1.81288          0.00368055
                  77             1.79317             1.81263          0.00364164
                  78             1.82779             1.81282          0.00360014
                  79              1.7886             1.81251          0.00356759
                  80             1.76003             1.81186           0.0035828
                  81             1.78736             1.81155          0.00355131
                  82             1.76651             1.81101          0.00355024
                  83             1.77917             1.81062          0.00352813
                  84             1.74123              1.8098          0.00358152
                  85               1.777             1.80941           0.0035601
                  86             1.79313             1.80922          0.00352374
                  87             1.79651             1.80907          0.00348626
                  88             1.77158             1.80865          0.00347258
                  89             1.80656             1.80862          0.00343365
                  90             1.81088             1.80865          0.00339559
                  91              1.8536             1.80914          0.00339401
                  92             1.84844             1.80957           0.0033839
                  93             1.86359             1.81015            0.003397
                  94             1.84049             1.81047          0.00337615
                  95             1.79369              1.8103          0.00334524
                  96             1.77957             1.80998          0.00332567
                  97              1.8013             1.80989          0.00329259
                  98             1.77251             1.80951            0.003281
                  99             1.76702             1.80908          0.00327581
                 100             1.77139              1.8087          0.00326467
