#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.390328           -0.390328                   0
                   2           -0.399326           -0.394827          0.00318125
                   3           -0.425408           -0.405021          0.00858891
                   4           -0.423599           -0.409665          0.00759438
                   5           -0.417272           -0.411187          0.00622603
                   6           -0.403156           -0.409848          0.00533028
                   7           -0.382655           -0.405964          0.00581457
                   8           -0.376283           -0.402254          0.00615866
                   9           -0.392358           -0.401154          0.00557165
                  10           -0.435757           -0.404614          0.00599347
                  11           -0.423756           -0.406354          0.00569562
                  12           -0.419552           -0.407454           0.0053261
                  13           -0.437743           -0.409784          0.00540203
                  14           -0.459145            -0.41331          0.00605848
                  15            -0.46407           -0.416694          0.00653164
                  16           -0.419458           -0.416867           0.0061257
                  17           -0.404184           -0.416121          0.00581062
                  18            -0.42293           -0.416499           0.0055001
                  19           -0.373762            -0.41425          0.00565188
                  20           -0.390966           -0.413086          0.00548788
                  21           -0.383561            -0.41168          0.00540363
                  22           -0.392329             -0.4108          0.00522911
                  23           -0.422598           -0.411313          0.00502685
                  24           -0.428636           -0.412035          0.00486895
                  25           -0.398906            -0.41151          0.00470242
                  26           -0.403158           -0.411188          0.00453252
                  27           -0.397105           -0.410667          0.00439456
                  28           -0.369835           -0.409209          0.00447302
                  29           -0.374504           -0.408012            0.004476
                  30           -0.466536           -0.409963          0.00473287
                  31           -0.455748            -0.41144          0.00480512
                  32           -0.406078           -0.411272          0.00465788
                  33            -0.36831            -0.40997          0.00469515
                  34           -0.406195           -0.409859          0.00455837
                  35           -0.394844            -0.40943          0.00444827
                  36           -0.398253            -0.40912          0.00433553
                  37           -0.386315           -0.408503          0.00426194
                  38           -0.414894           -0.408672           0.0041531
                  39           -0.439648           -0.409466          0.00412186
                  40           -0.461937           -0.410778           0.0042224
                  41            -0.49683           -0.412876          0.00461164
                  42           -0.447984           -0.413712          0.00457697
                  43           -0.468132           -0.414978          0.00464221
                  44           -0.456028           -0.415911           0.0046295
                  45           -0.436218           -0.416362          0.00454857
                  46           -0.422736           -0.416501          0.00445179
                  47           -0.409183           -0.416345           0.0043598
                  48           -0.388141           -0.415757          0.00430838
                  49           -0.379185           -0.415011          0.00428462
                  50           -0.437951            -0.41547          0.00422342
                  51           -0.446077            -0.41607          0.00418303
                  52           -0.435066           -0.416435          0.00411851
                  53           -0.388187           -0.415902          0.00407514
                  54           -0.381834           -0.415271          0.00404822
                  55           -0.384393            -0.41471          0.00401335
                  56           -0.415177           -0.414718           0.0039417
                  57           -0.438327           -0.415133          0.00389424
                  58           -0.395434           -0.414793          0.00384188
                  59           -0.444842           -0.415302          0.00381037
                  60           -0.400432           -0.415054          0.00375492
                  61           -0.391784           -0.414673          0.00371269
                  62           -0.369488           -0.413944          0.00372365
                  63           -0.389284           -0.413553          0.00368506
                  64           -0.440415           -0.413972          0.00365131
                  65           -0.449693           -0.414522          0.00363625
                  66            -0.43683            -0.41486          0.00359683
                  67           -0.473636           -0.415737          0.00364856
                  68           -0.441631           -0.416118          0.00361472
                  69           -0.410326           -0.416034          0.00356331
                  70           -0.452068           -0.416549          0.00354939
                  71           -0.471573           -0.417324          0.00358301
                  72            -0.47087           -0.418067           0.0036096
                  73           -0.479808           -0.418913          0.00365789
                  74           -0.457419           -0.419434          0.00364529
                  75           -0.479049           -0.420228          0.00368233
                  76           -0.466535           -0.420838          0.00368394
                  77           -0.401053           -0.420581          0.00364504
                  78           -0.435581           -0.420773          0.00360338
                  79           -0.396207           -0.420462          0.00357116
                  80           -0.367918           -0.419805          0.00358641
                  81           -0.395088             -0.4195           0.0035551
                  82           -0.374383            -0.41895          0.00355406
                  83           -0.386988           -0.418565          0.00353204
                  84            -0.34913           -0.417738          0.00358542
                  85           -0.384951           -0.417353          0.00356392
                  86           -0.401033           -0.417163          0.00352753
                  87           -0.404461           -0.417017          0.00349001
                  88           -0.379555           -0.416591          0.00347621
                  89           -0.414586           -0.416569          0.00343723
                  90           -0.418931           -0.416595          0.00339914
                  91            -0.46163            -0.41709          0.00339762
                  92           -0.456287           -0.417516           0.0033873
                  93           -0.471447           -0.418096          0.00340015
                  94           -0.448249           -0.418416          0.00337908
                  95           -0.401513           -0.418239          0.00334819
                  96            -0.38735           -0.417917          0.00332873
                  97           -0.409027           -0.417825          0.00329568
                  98           -0.380304           -0.417442          0.00328421
                  99           -0.374833           -0.417012          0.00327912
                 100           -0.379145           -0.416633          0.00326812
