#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1        5.306964e-02        5.306964e-02        0.000000e+00
                   2        4.976806e-02        5.141885e-02        1.167287e-03
                   3        4.810985e-02        5.031585e-02        1.190232e-03
                   4        5.038432e-02        5.033297e-02        8.927968e-04
                   5        4.925854e-02        5.011808e-02        7.396457e-04
                   6        4.567681e-02        4.937787e-02        9.146086e-04
                   7        5.058685e-02        4.955058e-02        8.000912e-04
                   8        4.679991e-02        4.920675e-02        7.704255e-04
                   9        4.597743e-02        4.884794e-02        7.638220e-04
                  10        5.061821e-02        4.902496e-02        7.076568e-04
                  11        4.809930e-02        4.894081e-02        6.483085e-04
                  12        4.679779e-02        4.876223e-02        6.183907e-04
                  13        4.514462e-02        4.848395e-02        6.303328e-04
                  14        4.551891e-02        4.827216e-02        6.198686e-04
                  15        4.892694e-02        4.831581e-02        5.800790e-04
                  16        4.914763e-02        4.836780e-02        5.461488e-04
                  17        5.471662e-02        4.874126e-02        6.288778e-04
                  18        5.073629e-02        4.885210e-02        6.036280e-04
                  19        4.883161e-02        4.885102e-02        5.718591e-04
                  20        5.047871e-02        4.893240e-02        5.490268e-04
                  21        4.797388e-02        4.888676e-02        5.247765e-04
                  22        4.598931e-02        4.875506e-02        5.171856e-04
                  23        4.897995e-02        4.876483e-02        4.947917e-04
                  24        4.728862e-02        4.870332e-02        4.779833e-04
                  25        4.556280e-02        4.857770e-02        4.750847e-04
                  26        5.031501e-02        4.864452e-02        4.614873e-04
                  27        5.139970e-02        4.874657e-02        4.555374e-04
                  28        4.791916e-02        4.871702e-02        4.402256e-04
                  29        4.680573e-02        4.865111e-02        4.299506e-04
                  30        5.239735e-02        4.877598e-02        4.333739e-04
                  31        4.208489e-02        4.856014e-02        4.700811e-04
                  32        5.218212e-02        4.867333e-02        4.688197e-04
                  33        4.681437e-02        4.861700e-02        4.579849e-04
                  34        5.009360e-02        4.866043e-02        4.465692e-04
                  35        5.097762e-02        4.872663e-02        4.386902e-04
                  36        5.013599e-02        4.876578e-02        4.282476e-04
                  37        4.637599e-02        4.870119e-02        4.215159e-04
                  38        4.705348e-02        4.865783e-02        4.126476e-04
                  39        5.128967e-02        4.872532e-02        4.075475e-04
                  40        4.713757e-02        4.868562e-02        3.992872e-04
                  41        5.056028e-02        4.873134e-02        3.921577e-04
                  42        4.776646e-02        4.870837e-02        3.834929e-04
                  43        5.004536e-02        4.873946e-02        3.758328e-04
                  44        5.109901e-02        4.879309e-02        3.710973e-04
                  45        5.470150e-02        4.892439e-02        3.853787e-04
                  46        5.323065e-02        4.901800e-02        3.882046e-04
                  47        4.825310e-02        4.900173e-02        3.802859e-04
                  48        4.647731e-02        4.894914e-02        3.759823e-04
                  49        4.617390e-02        4.889250e-02        3.725507e-04
                  50        5.341133e-02        4.898288e-02        3.759021e-04
                  51        5.356113e-02        4.907265e-02        3.790989e-04
                  52        5.422526e-02        4.917173e-02        3.845405e-04
                  53        5.458080e-02        4.927379e-02        3.905934e-04
                  54        5.039776e-02        4.929461e-02        3.839144e-04
                  55        4.654612e-02        4.924463e-02        3.801726e-04
                  56        4.998965e-02        4.925794e-02        3.736165e-04
                  57        5.639667e-02        4.938318e-02        3.874848e-04
                  58        4.505755e-02        4.930860e-02        3.879149e-04
                  59        5.181459e-02        4.935107e-02        3.836584e-04
                  60        5.281480e-02        4.940880e-02        3.815826e-04
                  61        4.755460e-02        4.937840e-02        3.765359e-04
                  62        4.762066e-02        4.935005e-02        3.715285e-04
                  63        5.202976e-02        4.939259e-02        3.680580e-04
                  64        5.116241e-02        4.942024e-02        3.633444e-04
                  65        4.839414e-02        4.940446e-02        3.580973e-04
                  66        4.810412e-02        4.938475e-02        3.532132e-04
                  67        5.330705e-02        4.944330e-02        3.527593e-04
                  68        5.173310e-02        4.947697e-02        3.491752e-04
                  69        4.545859e-02        4.941873e-02        3.489375e-04
                  70        5.121586e-02        4.944441e-02        3.448958e-04
                  71        5.579877e-02        4.953390e-02        3.514584e-04
                  72        4.803144e-02        4.951304e-02        3.471960e-04
                  73        5.088740e-02        4.953186e-02        3.429499e-04
                  74        5.121852e-02        4.955466e-02        3.390720e-04
                  75        5.260695e-02        4.959535e-02        3.369846e-04
                  76        5.279671e-02        4.963748e-02        3.351729e-04
                  77        5.188577e-02        4.966667e-02        3.320894e-04
                  78        5.199885e-02        4.969657e-02        3.291751e-04
                  79        4.848038e-02        4.968118e-02        3.253681e-04
                  80        4.767352e-02        4.965608e-02        3.222674e-04
                  81        5.117381e-02        4.967482e-02        3.188330e-04
                  82        4.422680e-02        4.960838e-02        3.217928e-04
                  83        5.586817e-02        4.968380e-02        3.266343e-04
                  84        5.204898e-02        4.971196e-02        3.239571e-04
                  85        4.905105e-02        4.970418e-02        3.202391e-04
                  86        4.662299e-02        4.966835e-02        3.185133e-04
                  87        4.592355e-02        4.962531e-02        3.177474e-04
                  88        4.745238e-02        4.960062e-02        3.150946e-04
                  89        5.047566e-02        4.961045e-02        3.117075e-04
                  90        4.755300e-02        4.958759e-02        3.090813e-04
                  91        5.166832e-02        4.961046e-02        3.065294e-04
                  92        5.161010e-02        4.963219e-02        3.039672e-04
                  93        5.183255e-02        4.965585e-02        3.016181e-04
                  94        4.956162e-02        4.965485e-02        2.984110e-04
                  95        4.747827e-02        4.963194e-02        2.961481e-04
                  96        4.926187e-02        4.962808e-02        2.930883e-04
                  97        5.361829e-02        4.966922e-02        2.929394e-04
                  98        4.772105e-02        4.964934e-02        2.906239e-04
                  99        4.857282e-02        4.963846e-02        2.878917e-04
                 100        4.936484e-02        4.963573e-02        2.850258e-04
