#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1        1.188208e+00        1.188208e+00        0.000000e+00
                   2        1.194276e+00        1.191242e+00        2.145404e-03
                   3        1.211634e+00        1.198039e+00        5.731303e-03
                   4        1.210411e+00        1.201132e+00        5.064709e-03
                   5        1.206239e+00        1.202154e+00        4.153468e-03
                   6        1.196824e+00        1.201265e+00        3.554920e-03
                   7        1.183191e+00        1.198683e+00        3.872858e-03
                   8        1.178915e+00        1.196212e+00        4.102016e-03
                   9        1.189639e+00        1.195482e+00        3.710684e-03
                  10        1.218559e+00        1.197790e+00        3.993224e-03
                  11        1.210631e+00        1.198957e+00        3.797010e-03
                  12        1.207771e+00        1.199691e+00        3.550928e-03
                  13        1.219928e+00        1.201248e+00        3.602866e-03
                  14        1.234149e+00        1.203598e+00        4.039885e-03
                  15        1.237538e+00        1.205861e+00        4.358368e-03
                  16        1.207727e+00        1.205977e+00        4.087531e-03
                  17        1.197510e+00        1.205479e+00        3.877320e-03
                  18        1.209960e+00        1.205728e+00        3.669895e-03
                  19        1.177189e+00        1.204226e+00        3.771641e-03
                  20        1.188593e+00        1.203445e+00        3.663159e-03
                  21        1.183673e+00        1.202503e+00        3.607685e-03
                  22        1.189528e+00        1.201913e+00        3.491574e-03
                  23        1.209759e+00        1.202254e+00        3.356387e-03
                  24        1.213776e+00        1.202734e+00        3.250689e-03
                  25        1.193991e+00        1.202385e+00        3.139417e-03
                  26        1.196839e+00        1.202171e+00        3.025908e-03
                  27        1.192742e+00        1.201822e+00        2.933924e-03
                  28        1.174570e+00        1.200849e+00        2.986224e-03
                  29        1.177623e+00        1.200048e+00        2.988717e-03
                  30        1.238987e+00        1.201346e+00        3.158389e-03
                  31        1.231878e+00        1.202331e+00        3.206392e-03
                  32        1.198796e+00        1.202220e+00        3.108094e-03
                  33        1.173507e+00        1.201350e+00        3.133339e-03
                  34        1.198802e+00        1.201275e+00        3.042078e-03
                  35        1.191259e+00        1.200989e+00        2.968592e-03
                  36        1.193561e+00        1.200783e+00        2.893292e-03
                  37        1.185638e+00        1.200374e+00        2.843901e-03
                  38        1.204634e+00        1.200486e+00        2.771270e-03
                  39        1.221087e+00        1.201014e+00        2.750095e-03
                  40        1.235977e+00        1.201888e+00        2.816826e-03
                  41        1.259193e+00        1.203286e+00        3.075400e-03
                  42        1.226641e+00        1.203842e+00        3.052037e-03
                  43        1.239977e+00        1.204682e+00        3.094592e-03
                  44        1.231952e+00        1.205302e+00        3.085700e-03
                  45        1.218745e+00        1.205601e+00        3.031556e-03
                  46        1.209845e+00        1.205693e+00        2.967056e-03
                  47        1.200809e+00        1.205589e+00        2.905747e-03
                  48        1.186849e+00        1.205199e+00        2.871318e-03
                  49        1.180821e+00        1.204701e+00        2.855493e-03
                  50        1.220040e+00        1.205008e+00        2.814815e-03
                  51        1.225559e+00        1.205411e+00        2.788316e-03
                  52        1.218210e+00        1.205657e+00        2.745537e-03
                  53        1.186994e+00        1.205305e+00        2.716221e-03
                  54        1.182683e+00        1.204886e+00        2.698032e-03
                  55        1.184379e+00        1.204513e+00        2.674615e-03
                  56        1.204893e+00        1.204520e+00        2.626863e-03
                  57        1.220343e+00        1.204797e+00        2.595403e-03
                  58        1.191668e+00        1.204571e+00        2.560509e-03
                  59        1.224656e+00        1.204911e+00        2.539639e-03
                  60        1.195069e+00        1.204747e+00        2.502604e-03
                  61        1.189257e+00        1.204493e+00        2.474429e-03
                  62        1.174400e+00        1.204008e+00        2.481667e-03
                  63        1.187517e+00        1.203746e+00        2.456043e-03
                  64        1.221643e+00        1.204026e+00        2.433534e-03
                  65        1.227765e+00        1.204391e+00        2.423345e-03
                  66        1.219131e+00        1.204615e+00        2.396897e-03
                  67        1.243666e+00        1.205197e+00        2.430956e-03
                  68        1.222309e+00        1.205449e+00        2.408196e-03
                  69        1.201466e+00        1.205391e+00        2.373987e-03
                  70        1.229330e+00        1.205733e+00        2.364575e-03
                  71        1.242347e+00        1.206249e+00        2.386843e-03
                  72        1.241844e+00        1.206743e+00        2.404345e-03
                  73        1.247866e+00        1.207307e+00        2.436507e-03
                  74        1.232875e+00        1.207652e+00        2.427956e-03
                  75        1.247306e+00        1.208181e+00        2.452476e-03
                  76        1.239091e+00        1.208588e+00        2.453699e-03
                  77        1.195447e+00        1.208417e+00        2.427760e-03
                  78        1.218525e+00        1.208547e+00        2.400091e-03
                  79        1.192402e+00        1.208342e+00        2.378395e-03
                  80        1.173356e+00        1.207905e+00        2.388535e-03
                  81        1.191574e+00        1.207703e+00        2.367541e-03
                  82        1.177671e+00        1.207337e+00        2.366826e-03
                  83        1.186111e+00        1.207081e+00        2.352086e-03
                  84        1.160823e+00        1.206531e+00        2.387681e-03
                  85        1.184669e+00        1.206273e+00        2.373402e-03
                  86        1.195421e+00        1.206147e+00        2.349157e-03
                  87        1.197670e+00        1.206050e+00        2.324175e-03
                  88        1.181054e+00        1.205766e+00        2.315056e-03
                  89        1.204370e+00        1.205750e+00        2.289097e-03
                  90        1.207253e+00        1.205767e+00        2.263724e-03
                  91        1.235735e+00        1.206096e+00        2.262675e-03
                  92        1.232297e+00        1.206381e+00        2.255932e-03
                  93        1.242394e+00        1.206768e+00        2.264665e-03
                  94        1.226992e+00        1.206983e+00        2.250770e-03
                  95        1.195792e+00        1.206865e+00        2.230158e-03
                  96        1.186379e+00        1.206652e+00        2.217114e-03
                  97        1.200867e+00        1.206592e+00        2.195059e-03
                  98        1.181676e+00        1.206338e+00        2.187335e-03
                  99        1.178011e+00        1.206052e+00        2.183875e-03
                 100        1.180925e+00        1.205801e+00        2.176444e-03
