#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1        1.391984e+00         1.391984e+00         0.000000e+00
                   2        1.392088e+00         1.392036e+00         3.685358e-05
                   3        1.392043e+00         1.392038e+00         2.465096e-05
                   4        1.392017e+00         1.392033e+00         1.905069e-05
                   5        1.392086e+00         1.392044e+00         1.793095e-05
                   6        1.392080e+00         1.392050e+00         1.596436e-05
                   7        1.392132e+00         1.392061e+00         1.746008e-05
                   8        1.392089e+00         1.392065e+00         1.561245e-05
                   9        1.392101e+00         1.392069e+00         1.437848e-05
                  10        1.392080e+00         1.392070e+00         1.298723e-05
                  11        1.392191e+00         1.392081e+00         1.576924e-05
                  12        1.392105e+00         1.392083e+00         1.458431e-05
                  13        1.392149e+00         1.392088e+00         1.431607e-05
                  14        1.392078e+00         1.392087e+00         1.331252e-05
                  15        1.392237e+00         1.392097e+00         1.571938e-05
                  16        1.392133e+00         1.392100e+00         1.489657e-05
                  17        1.392080e+00         1.392098e+00         1.406331e-05
                  18        1.392010e+00         1.392093e+00         1.411486e-05
                  19        1.392021e+00         1.392090e+00         1.387841e-05
                  20        1.391923e+00         1.392081e+00         1.547370e-05
                  21        1.391948e+00         1.392075e+00         1.598257e-05
                  22        1.391963e+00         1.392070e+00         1.605097e-05
                  23        1.392040e+00         1.392069e+00         1.540715e-05
                  24        1.392028e+00         1.392067e+00         1.485728e-05
                  25        1.392081e+00         1.392067e+00         1.427397e-05
                  26        1.392100e+00         1.392069e+00         1.378036e-05
                  27        1.392007e+00         1.392066e+00         1.345538e-05
                  28        1.392019e+00         1.392065e+00         1.308071e-05
                  29        1.391931e+00         1.392060e+00         1.342290e-05
                  30        1.391944e+00         1.392056e+00         1.352143e-05
                  31        1.392068e+00         1.392057e+00         1.309066e-05
                  32        1.392115e+00         1.392058e+00         1.280944e-05
                  33        1.391949e+00         1.392055e+00         1.284119e-05
                  34        1.392008e+00         1.392054e+00         1.253732e-05
                  35        1.392045e+00         1.392054e+00         1.218184e-05
                  36        1.392088e+00         1.392055e+00         1.188198e-05
                  37        1.392142e+00         1.392057e+00         1.179490e-05
                  38        1.392057e+00         1.392057e+00         1.148451e-05
                  39        1.391982e+00         1.392055e+00         1.134897e-05
                  40        1.392028e+00         1.392054e+00         1.108538e-05
                  41        1.391960e+00         1.392052e+00         1.105227e-05
                  42        1.391977e+00         1.392050e+00         1.093191e-05
                  43        1.391834e+00         1.392045e+00         1.177729e-05
                  44        1.391901e+00         1.392042e+00         1.195915e-05
                  45        1.391899e+00         1.392039e+00         1.210498e-05
                  46        1.392032e+00         1.392039e+00         1.184273e-05
                  47        1.392030e+00         1.392038e+00         1.159210e-05
                  48        1.392133e+00         1.392040e+00         1.151604e-05
                  49        1.392047e+00         1.392041e+00         1.128187e-05
                  50        1.392109e+00         1.392042e+00         1.113946e-05
                  51        1.392261e+00         1.392046e+00         1.171839e-05
                  52        1.392249e+00         1.392050e+00         1.212217e-05
                  53        1.392304e+00         1.392055e+00         1.280443e-05
                  54        1.392191e+00         1.392057e+00         1.281292e-05
                  55        1.392176e+00         1.392060e+00         1.275909e-05
                  56        1.392163e+00         1.392061e+00         1.266312e-05
                  57        1.392187e+00         1.392064e+00         1.263270e-05
                  58        1.392067e+00         1.392064e+00         1.241504e-05
                  59        1.392143e+00         1.392065e+00         1.227639e-05
                  60        1.392172e+00         1.392067e+00         1.219972e-05
                  61        1.392100e+00         1.392067e+00         1.201220e-05
