#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                   1             1.66023             1.66023                   0
                   2             1.63385             1.64704          0.00932878
                   3             1.63121             1.64176          0.00756591
                   4              1.6287              1.6385          0.00633995
                   5             1.67153             1.64511          0.00778669
                   6             1.66742             1.64882          0.00732308
                   7             1.63949             1.64749          0.00639714
                   8             1.64377             1.64702          0.00561442
                   9             1.65475             1.64788          0.00505578
                  10             1.67773             1.65087          0.00535936
                  11             1.67682             1.65323          0.00536644
                  12             1.65284              1.6532          0.00491933
                  13              1.6593             1.65366          0.00456324
                  14             1.67361             1.65509          0.00445419
                  15              1.6635             1.65565          0.00419238
                  16             1.66253             1.65608          0.00395233
                  17             1.66574             1.65665          0.00376045
                  18             1.67286             1.65755          0.00365785
                  19             1.63677             1.65646          0.00362509
                  20             1.64476             1.65587          0.00349071
                  21             1.69299             1.65764           0.0037453
                  22              1.6716             1.65827          0.00362841
                  23             1.67141             1.65884           0.0035153
                  24             1.65196             1.65856          0.00338053
                  25             1.67039             1.65903          0.00327829
                  26              1.6422             1.65838          0.00321549
                  27             1.65748             1.65835          0.00309657
                  28             1.67026             1.65877          0.00301505
                  29             1.66939             1.65914          0.00293322
                  30             1.67218             1.65958          0.00286749
                  31               1.658             1.65952          0.00277544
                  32             1.63931             1.65889          0.00275967
                  33              1.6712             1.65927          0.00270112
                  34             1.65905             1.65926          0.00262169
                  35              1.6375             1.65864          0.00261944
                  36             1.63812             1.65807          0.00260791
                  37             1.67162             1.65843            0.002563
                  38             1.66824             1.65869          0.00250852
                  39             1.66278              1.6588          0.00244638
                  40              1.6564             1.65874          0.00238596
                  41             1.66063             1.65878          0.00232821
                  42              1.6287             1.65807          0.00238041
                  43             1.64615             1.65779          0.00234112
                  44             1.68058             1.65831          0.00234453
                  45             1.67955             1.65878          0.00233946
                  46             1.64606              1.6585          0.00230487
                  47             1.68258             1.65902          0.00231206
                  48             1.65311             1.65889          0.00226716
                  49             1.62843             1.65827          0.00230454
                  50             1.66454              1.6584          0.00226186
                  51             1.68658             1.65895            0.002284
                  52              1.6541             1.65886          0.00224198
                  53             1.65598              1.6588          0.00220034
                  54             1.64379             1.65852          0.00217708
                  55              1.6691             1.65872          0.00214598
                  56             1.65886             1.65872          0.00210766
                  57             1.63953             1.65838          0.00209741
                  58             1.65471             1.65832           0.0020622
                  59             1.66982             1.65851          0.00203644
                  60             1.64314             1.65826          0.00201856
                  61              1.6793              1.6586          0.00201472
                  62             1.64646             1.65841          0.00199171
                  63             1.64223             1.65815          0.00197658
                  64             1.64814             1.65799          0.00195187
                  65             1.65631             1.65797          0.00192201
                  66             1.67459             1.65822          0.00190933
                  67             1.63174             1.65782          0.00192128
                  68             1.65266             1.65775          0.00189453
                  69             1.63723             1.65745          0.00189026
                  70             1.64118             1.65722          0.00187749
                  71             1.66399             1.65731          0.00185346
                  72             1.66895             1.65748          0.00183476
                  73             1.67797             1.65776          0.00183098
                  74             1.64722             1.65761          0.00181177
                  75              1.6632             1.65769          0.00178914
                  76             1.65954             1.65771          0.00176577
                  77             1.67274             1.65791          0.00175359
                  78             1.64674             1.65776          0.00173695
                  79             1.66765             1.65789          0.00171946
                  80             1.64793             1.65777          0.00170247
                  81             1.66518             1.65786          0.00168391
                  82             1.66919               1.658          0.00166903
                  83             1.68472             1.65832          0.00167969
                  84             1.66368             1.65838          0.00166091
                  85             1.64594             1.65823           0.0016478
                  86             1.63793               1.658          0.00164547
                  87             1.65502             1.65796          0.00162692
                  88             1.65067             1.65788          0.00161054
                  89             1.66838               1.658          0.00159676
                  90             1.68366             1.65828          0.00160427
                  91              1.6449             1.65814          0.00159337
                  92             1.67849             1.65836          0.00159133
                  93             1.65017             1.65827          0.00157666
                  94             1.63098             1.65798          0.00158639
                  95              1.6663             1.65807           0.0015721
                  96             1.65241             1.65801          0.00155683
                  97             1.62965             1.65772          0.00156799
                  98             1.62938             1.65743          0.00157842
                  99             1.67383             1.65759          0.00157115
                 100             1.63426             1.65736          0.00157266
