#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.02269            -5.02269                   0
                   2            -4.99751             -5.0101          0.00890528
                   3             -4.9944            -5.00487           0.0073152
                   4            -4.99369            -5.00207          0.00599639
                   5            -5.03499            -5.00865          0.00759507
                   6            -5.03184            -5.01252          0.00724575
                   7            -5.00366            -5.01125          0.00632015
                   8            -5.00709            -5.01073          0.00555152
                   9            -5.01819            -5.01156          0.00499614
                  10            -5.04213            -5.01462          0.00535083
                  11            -5.04095            -5.01701          0.00537326
                  12            -5.01556            -5.01689          0.00492685
                  13             -5.0205            -5.01717          0.00455565
                  14            -5.03956            -5.01877          0.00450225
                  15            -5.02483            -5.01917          0.00422017
                  16            -5.02575            -5.01958          0.00397636
                  17            -5.02781            -5.02007           0.0037718
                  18            -5.03623            -5.02097          0.00366763
                  19            -5.00107            -5.01992          0.00362099
                  20            -5.00714            -5.01928          0.00349584
                  21            -5.05611            -5.02103          0.00374356
                  22            -5.03467            -5.02165          0.00362434
                  23            -5.03564            -5.02226          0.00351741
                  24            -5.01418            -5.02192          0.00338691
                  25            -5.03229            -5.02234          0.00327673
                  26             -5.0047            -5.02166           0.0032202
                  27            -5.02065            -5.02162          0.00310115
                  28            -5.03424            -5.02207          0.00302294
                  29             -5.0326            -5.02244          0.00294039
                  30             -5.0344            -5.02284           0.0028693
                  31            -5.02134            -5.02279          0.00277714
                  32            -5.00201            -5.02214          0.00276524
                  33            -5.03516            -5.02253          0.00270945
                  34            -5.02231            -5.02253          0.00262977
                  35            -4.99975            -5.02187           0.0026339
                  36            -5.00277            -5.02134          0.00261365
                  37            -5.03585            -5.02174          0.00257226
                  38            -5.03185              -5.022           0.0025183
                  39            -5.02387            -5.02205          0.00245418
                  40            -5.01847            -5.02196          0.00239446
                  41            -5.02383            -5.02201          0.00233649
                  42            -4.99231             -5.0213          0.00238542
                  43            -5.01119            -5.02106           0.0023415
                  44             -5.0451            -5.02161          0.00235113
                  45            -5.04365             -5.0221          0.00234933
                  46            -5.00997            -5.02184            0.002313
                  47            -5.04632            -5.02236          0.00232169
                  48             -5.0159            -5.02222          0.00227722
                  49            -4.98985            -5.02156           0.0023246
                  50            -5.02708            -5.02167          0.00228072
                  51            -5.05071            -5.02224          0.00230598
                  52            -5.01717            -5.02214          0.00226369
                  53            -5.01994             -5.0221          0.00222136
                  54            -5.00716            -5.02183          0.00219739
                  55            -5.03366            -5.02204          0.00216795
                  56            -5.02335            -5.02206          0.00212936
                  57            -5.00127             -5.0217          0.00212302
                  58            -5.01954            -5.02166          0.00208675
                  59            -5.03239            -5.02184          0.00205928
                  60            -5.00685            -5.02159          0.00204006
                  61            -5.04501            -5.02198          0.00204242
                  62            -5.00838            -5.02176          0.00202122
                  63            -5.00642            -5.02152          0.00200375
                  64            -5.01195            -5.02137          0.00197802
                  65             -5.0203            -5.02135          0.00194765
                  66            -5.03756             -5.0216          0.00193356
                  67            -4.99477            -5.02119          0.00194571
                  68            -5.01568            -5.02111          0.00191879
                  69            -5.00107            -5.02082          0.00191285
                  70            -5.00335            -5.02057          0.00190174
                  71            -5.02687            -5.02066          0.00187702
                  72            -5.03161            -5.02081          0.00185711
                  73            -5.04071            -5.02109          0.00185156
                  74            -5.00926            -5.02093          0.00183342
                  75            -5.02626              -5.021          0.00181035
                  76            -5.02465            -5.02105          0.00178717
                  77            -5.03481            -5.02122          0.00177288
                  78            -5.01107            -5.02109          0.00175493
                  79            -5.03126            -5.02122          0.00173743
                  80            -5.01166             -5.0211          0.00171982
                  81            -5.02767            -5.02118           0.0017005
                  82            -5.03192            -5.02132          0.00168479
                  83            -5.04695            -5.02162          0.00169257
                  84             -5.0265            -5.02168          0.00167342
                  85            -5.00926            -5.02154          0.00166009
                  86             -5.0003            -5.02129          0.00165905
                  87            -5.01769            -5.02125           0.0016405
                  88            -5.01518            -5.02118          0.00162331
                  89            -5.03269            -5.02131          0.00161021
                  90            -5.04814            -5.02161          0.00161969
                  91            -5.00749            -5.02145           0.0016093
                  92             -5.0402            -5.02166          0.00160466
                  93            -5.01227            -5.02155          0.00159058
                  94            -4.99277            -5.02125          0.00160286
                  95            -5.02966            -5.02134          0.00158843
                  96            -5.01847            -5.02131          0.00157217
                  97            -4.99264            -5.02101          0.00158349
                  98             -4.9919            -5.02071          0.00159495
                  99            -5.03856            -5.02089            0.001589
                 100             -4.9975            -5.02066          0.00159024
