#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1        2.177546e+00        2.177546e+00        0.000000e+00
                   2        2.252688e+00        2.215117e+00        2.656666e-02
                   3        2.312697e+00        2.247644e+00        3.192178e-02
                   4        2.235671e+00        2.244651e+00        2.408125e-02
                   5        2.037921e+00        2.203305e+00        4.169809e-02
                   6        2.066872e+00        2.180566e+00        4.047630e-02
                   7        2.217811e+00        2.185887e+00        3.504194e-02
                   8        2.192963e+00        2.186771e+00        3.067286e-02
                   9        2.083228e+00        2.175266e+00        2.934314e-02
                  10        2.020278e+00        2.159768e+00        3.022613e-02
                  11        2.060996e+00        2.150788e+00        2.878114e-02
                  12        2.188314e+00        2.153915e+00        2.655206e-02
                  13        2.176830e+00        2.155678e+00        2.456803e-02
                  14        1.923282e+00        2.139078e+00        2.786233e-02
                  15        2.191829e+00        2.142595e+00        2.622584e-02
                  16        2.188187e+00        2.145445e+00        2.474104e-02
                  17        2.236244e+00        2.150786e+00        2.385525e-02
                  18        2.176408e+00        2.152209e+00        2.257239e-02
                  19        2.253043e+00        2.157516e+00        2.199939e-02
                  20        2.206764e+00        2.159979e+00        2.103678e-02
                  21        2.129253e+00        2.158515e+00        2.008585e-02
                  22        2.135209e+00        2.157456e+00        1.920077e-02
                  23        2.132124e+00        2.156355e+00        1.839752e-02
                  24        2.256331e+00        2.160520e+00        1.809642e-02
                  25        2.059678e+00        2.156487e+00        1.781645e-02
                  26        2.255703e+00        2.160303e+00        1.753510e-02
                  27        2.153323e+00        2.160044e+00        1.688756e-02
                  28        2.108005e+00        2.158186e+00        1.638638e-02
                  29        2.141277e+00        2.157603e+00        1.583170e-02
                  30        2.086185e+00        2.155222e+00        1.548193e-02
                  31        2.107010e+00        2.153667e+00        1.506042e-02
                  32        2.265546e+00        2.157163e+00        1.499011e-02
                  33        2.048209e+00        2.153861e+00        1.489503e-02
                  34        2.171137e+00        2.154369e+00        1.446561e-02
                  35        2.261266e+00        2.157424e+00        1.437111e-02
                  36        2.231887e+00        2.159492e+00        1.411998e-02
                  37        2.081752e+00        2.157391e+00        1.389380e-02
                  38        2.127887e+00        2.156615e+00        1.354985e-02
                  39        2.140547e+00        2.156203e+00        1.320868e-02
                  40        2.176185e+00        2.156702e+00        1.288791e-02
                  41        2.182314e+00        2.157327e+00        1.258870e-02
                  42        2.272093e+00        2.160059e+00        1.258204e-02
                  43        2.163509e+00        2.160140e+00        1.228969e-02
                  44        2.011717e+00        2.156766e+00        1.246472e-02
                  45        2.037495e+00        2.154116e+00        1.246634e-02
                  46        2.311186e+00        2.157530e+00        1.265433e-02
                  47        2.076690e+00        2.155810e+00        1.250143e-02
                  48        2.219683e+00        2.157141e+00        1.231160e-02
                  49        2.480593e+00        2.163742e+00        1.371629e-02
                  50        2.149070e+00        2.163449e+00        1.344510e-02
                  51        2.081516e+00        2.161842e+00        1.327711e-02
                  52        2.227473e+00        2.163104e+00        1.308163e-02
                  53        2.196463e+00        2.163734e+00        1.284994e-02
                  54        2.152590e+00        2.163527e+00        1.261363e-02
                  55        2.060311e+00        2.161651e+00        1.252312e-02
                  56        2.079655e+00        2.160187e+00        1.238480e-02
                  57        2.291173e+00        2.162485e+00        1.237888e-02
                  58        2.117861e+00        2.161715e+00        1.218934e-02
                  59        2.182269e+00        2.162064e+00        1.198772e-02
                  60        2.214530e+00        2.162938e+00        1.181977e-02
                  61        1.996394e+00        2.160208e+00        1.193717e-02
                  62        2.204627e+00        2.160924e+00        1.176611e-02
                  63        2.229940e+00        2.162020e+00        1.163023e-02
                  64        2.150567e+00        2.161841e+00        1.144989e-02
                  65        2.132297e+00        2.161386e+00        1.128275e-02
