#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1        1.106823e+00        1.106823e+00        0.000000e+00
                   2        1.089233e+00        1.098028e+00        6.219185e-03
                   3        1.087474e+00        1.094510e+00        5.043941e-03
                   4        1.085803e+00        1.092333e+00        4.226633e-03
                   5        1.114352e+00        1.096737e+00        5.191129e-03
                   6        1.111610e+00        1.099216e+00        4.882055e-03
                   7        1.092994e+00        1.098327e+00        4.264758e-03
                   8        1.095844e+00        1.098017e+00        3.742944e-03
                   9        1.103167e+00        1.098589e+00        3.370523e-03
                  10        1.118488e+00        1.100579e+00        3.572907e-03
                  11        1.117881e+00        1.102152e+00        3.577627e-03
                  12        1.101896e+00        1.102130e+00        3.279555e-03
                  13        1.106197e+00        1.102443e+00        3.042163e-03
                  14        1.115742e+00        1.103393e+00        2.969460e-03
                  15        1.108999e+00        1.103767e+00        2.794919e-03
                  16        1.108352e+00        1.104053e+00        2.634889e-03
                  17        1.110492e+00        1.104432e+00        2.506968e-03
                  18        1.115242e+00        1.105033e+00        2.438568e-03
                  19        1.091182e+00        1.104304e+00        2.416728e-03
                  20        1.096505e+00        1.103914e+00        2.327140e-03
                  21        1.128658e+00        1.105092e+00        2.496869e-03
                  22        1.114398e+00        1.105515e+00        2.418942e-03
                  23        1.114271e+00        1.105896e+00        2.343535e-03
                  24        1.101304e+00        1.105704e+00        2.253685e-03
                  25        1.113595e+00        1.106020e+00        2.185526e-03
                  26        1.094798e+00        1.105588e+00        2.143663e-03
                  27        1.104988e+00        1.105566e+00        2.064383e-03
                  28        1.113505e+00        1.105850e+00        2.010031e-03
                  29        1.112928e+00        1.106094e+00        1.955483e-03
                  30        1.114789e+00        1.106384e+00        1.911660e-03
                  31        1.105331e+00        1.106350e+00        1.850295e-03
                  32        1.092872e+00        1.105929e+00        1.839782e-03
                  33        1.114133e+00        1.106177e+00        1.800750e-03
                  34        1.106034e+00        1.106173e+00        1.747791e-03
                  35        1.091669e+00        1.105759e+00        1.746292e-03
                  36        1.092083e+00        1.105379e+00        1.738609e-03
                  37        1.114411e+00        1.105623e+00        1.708670e-03
                  38        1.112161e+00        1.105795e+00        1.672345e-03
                  39        1.108520e+00        1.105865e+00        1.630923e-03
                  40        1.104267e+00        1.105825e+00        1.590639e-03
                  41        1.107087e+00        1.105856e+00        1.552141e-03
                  42        1.085800e+00        1.105378e+00        1.586943e-03
                  43        1.097436e+00        1.105193e+00        1.560747e-03
                  44        1.120390e+00        1.105539e+00        1.563022e-03
                  45        1.119698e+00        1.105853e+00        1.559639e-03
                  46        1.097376e+00        1.105669e+00        1.536582e-03
                  47        1.121720e+00        1.106011e+00        1.541372e-03
                  48        1.102077e+00        1.105929e+00        1.511437e-03
                  49        1.085621e+00        1.105514e+00        1.536361e-03
                  50        1.109693e+00        1.105598e+00        1.507906e-03
                  51        1.124385e+00        1.105966e+00        1.522669e-03
                  52        1.102733e+00        1.105904e+00        1.494656e-03
                  53        1.103984e+00        1.105868e+00        1.466894e-03
                  54        1.095860e+00        1.105682e+00        1.451389e-03
                  55        1.112735e+00        1.105811e+00        1.430653e-03
                  56        1.105910e+00        1.105812e+00        1.405106e-03
                  57        1.093017e+00        1.105588e+00        1.398271e-03
                  58        1.103139e+00        1.105546e+00        1.374801e-03
                  59        1.113212e+00        1.105676e+00        1.357626e-03
                  60        1.095425e+00        1.105505e+00        1.345705e-03
                  61        1.119531e+00        1.105735e+00        1.343144e-03
                  62        1.097640e+00        1.105604e+00        1.327810e-03
                  63        1.094821e+00        1.105433e+00        1.317720e-03
                  64        1.098761e+00        1.105329e+00        1.301248e-03
                  65        1.104209e+00        1.105312e+00        1.281343e-03
                  66        1.116394e+00        1.105479e+00        1.272884e-03
                  67        1.087830e+00        1.105216e+00        1.280856e-03
                  68        1.101775e+00        1.105165e+00        1.263018e-03
                  69        1.091489e+00        1.104967e+00        1.260171e-03
                  70        1.094122e+00        1.104812e+00        1.251657e-03
                  71        1.109327e+00        1.104876e+00        1.235642e-03
                  72        1.112636e+00        1.104984e+00        1.223172e-03
                  73        1.118648e+00        1.105171e+00        1.220655e-03
                  74        1.098144e+00        1.105076e+00        1.207847e-03
                  75        1.108801e+00        1.105126e+00        1.192762e-03
                  76        1.106357e+00        1.105142e+00        1.177178e-03
                  77        1.115163e+00        1.105272e+00        1.169062e-03
                  78        1.097826e+00        1.105176e+00        1.157964e-03
                  79        1.111766e+00        1.105260e+00        1.146307e-03
                  80        1.098621e+00        1.105177e+00        1.134978e-03
                  81        1.110119e+00        1.105238e+00        1.122605e-03
                  82        1.112793e+00        1.105330e+00        1.112689e-03
                  83        1.123146e+00        1.105545e+00        1.119796e-03
                  84        1.109120e+00        1.105587e+00        1.107273e-03
                  85        1.097296e+00        1.105490e+00        1.098535e-03
                  86        1.091951e+00        1.105332e+00        1.096983e-03
                  87        1.103346e+00        1.105309e+00        1.084612e-03
                  88        1.100447e+00        1.105254e+00        1.073693e-03
                  89        1.112253e+00        1.105333e+00        1.064505e-03
                  90        1.122441e+00        1.105523e+00        1.069514e-03
                  91        1.096601e+00        1.105425e+00        1.062245e-03
                  92        1.118993e+00        1.105572e+00        1.060888e-03
                  93        1.100112e+00        1.105514e+00        1.051104e-03
                  94        1.087320e+00        1.105320e+00        1.057592e-03
                  95        1.110865e+00        1.105378e+00        1.048069e-03
                  96        1.101606e+00        1.105339e+00        1.037888e-03
                  97        1.086435e+00        1.105144e+00        1.045326e-03
                  98        1.086256e+00        1.104952e+00        1.052279e-03
                  99        1.115889e+00        1.105062e+00        1.047433e-03
                 100        1.089509e+00        1.104906e+00        1.048442e-03
