#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1       -3.362459e+00        -3.362459e+00         0.000000e+00
                   2       -3.363657e+00        -3.363058e+00         4.235003e-04
                   3       -3.363186e+00        -3.363100e+00         2.844714e-04
                   4       -3.364984e+00        -3.363571e+00         4.602009e-04
                   5       -3.363460e+00        -3.363549e+00         3.686989e-04
                   6       -3.364423e+00        -3.363695e+00         3.347777e-04
                   7       -3.364170e+00        -3.363763e+00         2.937625e-04
                   8       -3.363324e+00        -3.363708e+00         2.621030e-04
                   9       -3.363440e+00        -3.363678e+00         2.346617e-04
                  10       -3.364403e+00        -3.363751e+00         2.221109e-04
                  11       -3.364129e+00        -3.363785e+00         2.045688e-04
                  12       -3.362719e+00        -3.363696e+00         2.059047e-04
                  13       -3.361200e+00        -3.363504e+00         2.648574e-04
                  14       -3.365948e+00        -3.363679e+00         2.979465e-04
                  15       -3.361326e+00        -3.363522e+00         3.166821e-04
                  16       -3.363218e+00        -3.363503e+00         2.974585e-04
                  17       -3.362074e+00        -3.363419e+00         2.915902e-04
                  18       -3.363370e+00        -3.363416e+00         2.754036e-04
                  19       -3.364297e+00        -3.363462e+00         2.647794e-04
                  20       -3.362384e+00        -3.363409e+00         2.569680e-04
                  21       -3.363123e+00        -3.363395e+00         2.450904e-04
                  22       -3.363070e+00        -3.363380e+00         2.343933e-04
                  23       -3.364234e+00        -3.363417e+00         2.271214e-04
                  24       -3.362229e+00        -3.363368e+00         2.229876e-04
                  25       -3.361900e+00        -3.363309e+00         2.216594e-04
                  26       -3.362498e+00        -3.363278e+00         2.153158e-04
                  27       -3.363165e+00        -3.363274e+00         2.073820e-04
                  28       -3.363979e+00        -3.363299e+00         2.015002e-04
                  29       -3.363203e+00        -3.363296e+00         1.945791e-04
                  30       -3.362217e+00        -3.363260e+00         1.913882e-04
                  31       -3.363344e+00        -3.363262e+00         1.852336e-04
                  32       -3.362697e+00        -3.363245e+00         1.802848e-04
                  33       -3.363959e+00        -3.363266e+00         1.761164e-04
                  34       -3.363257e+00        -3.363266e+00         1.709368e-04
                  35       -3.362249e+00        -3.363237e+00         1.685058e-04
                  36       -3.364645e+00        -3.363276e+00         1.683005e-04
                  37       -3.364237e+00        -3.363302e+00         1.657433e-04
                  38       -3.363607e+00        -3.363310e+00         1.615754e-04
                  39       -3.361085e+00        -3.363253e+00         1.672027e-04
                  40       -3.362067e+00        -3.363223e+00         1.656308e-04
                  41       -3.363199e+00        -3.363223e+00         1.615921e-04
                  42       -3.363614e+00        -3.363232e+00         1.580133e-04
                  43       -3.365036e+00        -3.363274e+00         1.598111e-04
                  44       -3.364513e+00        -3.363302e+00         1.586396e-04
                  45       -3.364101e+00        -3.363320e+00         1.561029e-04
                  46       -3.363908e+00        -3.363333e+00         1.532327e-04
                  47       -3.363737e+00        -3.363341e+00         1.502130e-04
                  48       -3.362784e+00        -3.363330e+00         1.475321e-04
                  49       -3.361420e+00        -3.363291e+00         1.495816e-04
                  50       -3.362539e+00        -3.363276e+00         1.473445e-04
                  51       -3.364133e+00        -3.363293e+00         1.454101e-04
                  52       -3.363074e+00        -3.363288e+00         1.426745e-04
                  53       -3.363969e+00        -3.363301e+00         1.405586e-04
                  54       -3.363368e+00        -3.363302e+00         1.379611e-04
                  55       -3.364559e+00        -3.363325e+00         1.373302e-04
                  56       -3.364481e+00        -3.363346e+00         1.364198e-04
                  57       -3.361745e+00        -3.363318e+00         1.368885e-04
                  58       -3.364828e+00        -3.363344e+00         1.369829e-04
                  59       -3.362570e+00        -3.363331e+00         1.352873e-04
                  60       -3.363714e+00        -3.363337e+00         1.331835e-04
                  61       -3.365715e+00        -3.363376e+00         1.365867e-04
                  62       -3.361916e+00        -3.363353e+00         1.363994e-04
                  63       -3.364189e+00        -3.363366e+00         1.348784e-04
                  64       -3.363805e+00        -3.363373e+00         1.329452e-04
                  65       -3.363991e+00        -3.363382e+00         1.312402e-04
                  66       -3.362966e+00        -3.363376e+00         1.294031e-04
                  67       -3.363026e+00        -3.363371e+00         1.275772e-04
                  68       -3.363021e+00        -3.363366e+00         1.258047e-04
                  69       -3.363832e+00        -3.363372e+00         1.241628e-04
                  70       -3.362167e+00        -3.363355e+00         1.235777e-04
                  71       -3.362878e+00        -3.363348e+00         1.220196e-04
                  72       -3.362661e+00        -3.363339e+00         1.206976e-04
                  73       -3.362737e+00        -3.363331e+00         1.193255e-04
                  74       -3.362045e+00        -3.363313e+00         1.189712e-04
                  75       -3.363055e+00        -3.363310e+00         1.174345e-04
                  76       -3.365115e+00        -3.363333e+00         1.182681e-04
                  77       -3.362070e+00        -3.363317e+00         1.178642e-04
                  78       -3.364326e+00        -3.363330e+00         1.170607e-04
                  79       -3.363611e+00        -3.363334e+00         1.156331e-04
                  80       -3.363724e+00        -3.363338e+00         1.142908e-04
                  81       -3.362489e+00        -3.363328e+00         1.133597e-04
                  82       -3.362734e+00        -3.363321e+00         1.122082e-04
                  83       -3.362234e+00        -3.363308e+00         1.116183e-04
                  84       -3.362819e+00        -3.363302e+00         1.104411e-04
                  85       -3.363321e+00        -3.363302e+00         1.091421e-04
                  86       -3.362374e+00        -3.363291e+00         1.084052e-04
                  87       -3.362666e+00        -3.363284e+00         1.073970e-04
                  88       -3.364512e+00        -3.363298e+00         1.070787e-04
                  89       -3.364306e+00        -3.363309e+00         1.064733e-04
                  90       -3.364483e+00        -3.363322e+00         1.060860e-04
                  91       -3.362584e+00        -3.363314e+00         1.052299e-04
                  92       -3.361709e+00        -3.363297e+00         1.055221e-04
                  93       -3.362106e+00        -3.363284e+00         1.051615e-04
                  94       -3.361792e+00        -3.363268e+00         1.052339e-04
                  95       -3.363367e+00        -3.363269e+00         1.041313e-04
                  96       -3.366060e+00        -3.363298e+00         1.070267e-04
                  97       -3.362991e+00        -3.363295e+00         1.059702e-04
                  98       -3.362513e+00        -3.363287e+00         1.051889e-04
                  99       -3.364729e+00        -3.363302e+00         1.051303e-04
                 100       -3.363234e+00        -3.363301e+00         1.040811e-04
