#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                   1             1.21564             1.21564                   0
                   2              1.2142             1.21492         0.000509888
                   3             1.21121             1.21368          0.00106572
                   4              1.2131             1.21354         0.000809159
                   5             1.21483              1.2138         0.000687266
                   6             1.21394             1.21382         0.000573148
                   7             1.21408             1.21386          0.00049242
                   8             1.21881             1.21448         0.000721915
                   9              1.2125             1.21426         0.000674263
                  10             1.21321             1.21415         0.000614975
                  11             1.21281             1.21403         0.000571051
                  12             1.21684             1.21426         0.000569337
                  13             1.21307             1.21417         0.000532837
                  14              1.2164             1.21433         0.000517914
                  15             1.21386              1.2143         0.000484318
                  16             1.21559             1.21438         0.000460727
                  17             1.20974             1.21411         0.000508235
                  18             1.21488             1.21415         0.000481792
                  19             1.21358             1.21412         0.000457374
                  20             1.21699             1.21426         0.000456448
                  21             1.21531             1.21431         0.000437412
                  22             1.21579             1.21438          0.00042263
                  23             1.21172             1.21426         0.000419738
                  24             1.21155             1.21415         0.000417163
                  25             1.21532              1.2142         0.000403072
                  26             1.21206             1.21412         0.000395844
                  27             1.21206             1.21404         0.000388428
                  28             1.21905             1.21422         0.000413644
                  29             1.21651              1.2143         0.000406864
                  30             1.21423              1.2143         0.000393308
                  31             1.21776             1.21441         0.000396161
                  32             1.21448             1.21441         0.000383788
                  33             1.21704             1.21449         0.000380362
                  34             1.21494              1.2145         0.000369404
                  35             1.21798              1.2146         0.000371949
                  36             1.21609             1.21464         0.000363905
                  37             1.21882             1.21476         0.000371133
                  38             1.21429             1.21474         0.000361567
                  39             1.21637             1.21479         0.000354703
                  40             1.21736             1.21485         0.000351633
                  41             1.21359             1.21482         0.000344403
                  42             1.21551             1.21484         0.000336593
                  43              1.2125             1.21478         0.000333127
                  44             1.21887             1.21487          0.00033828
                  45             1.21246             1.21482         0.000334981
                  46             1.21673             1.21486         0.000330265
                  47              1.2136             1.21484         0.000324335
                  48             1.21715             1.21488         0.000321153
                  49              1.2157              1.2149         0.000315034
                  50             1.21198             1.21484          0.00031409
                  51             1.21484             1.21484         0.000307931
                  52             1.21394             1.21482           0.0003025
                  53             1.20967             1.21473         0.000312025
                  54             1.21693             1.21477          0.00030891
                  55             1.21814             1.21483         0.000309317
                  56             1.22051             1.21493         0.000319981
                  57             1.21724             1.21497         0.000316922
                  58             1.21607             1.21499         0.000312022
                  59             1.21158             1.21493         0.000312041
                  60             1.21903               1.215         0.000314235
                  61             1.21716             1.21504         0.000311071
                  62             1.21357             1.21501         0.000306952
                  63             1.21545             1.21502         0.000302157
                  64             1.21291             1.21499         0.000299229
                  65             1.21596               1.215         0.000294999
                  66             1.21537             1.21501         0.000290582
                  67             1.21505             1.21501         0.000286246
                  68             1.21518             1.21501         0.000282048
                  69              1.2139             1.21499         0.000278419
                  70             1.21433             1.21498         0.000274604
                  71             1.21087             1.21493         0.000276787
                  72             1.21632             1.21495          0.00027362
                  73             1.21418             1.21494         0.000270073
                  74             1.21786             1.21498         0.000269305
                  75             1.21664               1.215         0.000266632
                  76             1.21597             1.21501         0.000263429
                  77             1.22083             1.21509         0.000270622
                  78             1.21329             1.21506         0.000268128
                  79               1.216             1.21507         0.000264996
                  80             1.21211             1.21504         0.000264266
                  81             1.21017             1.21498         0.000267741
                  82             1.21596             1.21499         0.000264742
                  83             1.21156             1.21495         0.000264757
                  84             1.21145             1.21491         0.000264866
                  85             1.21794             1.21494         0.000264136
                  86             1.21423             1.21493         0.000261193
                  87             1.21844             1.21497          0.00026128
                  88             1.21304             1.21495         0.000259237
                  89             1.21742             1.21498         0.000257804
                  90             1.21652               1.215         0.000255507
                  91             1.21352             1.21498         0.000253214
                  92             1.21649               1.215         0.000250995
                  93             1.21412             1.21499         0.000248475
                  94             1.20974             1.21493         0.000252025
                  95             1.22332             1.21502          0.00026437
                  96             1.20901             1.21496         0.000268937
                  97             1.21796             1.21499         0.000267944
                  98             1.21761             1.21502          0.00026654
                  99             1.21578             1.21502          0.00026396
                 100             1.21448             1.21502         0.000261377
