#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -6.64922            -6.64922                   0
                   2             -6.6471            -6.64816         0.000749615
                   3            -6.64417            -6.64683          0.00119582
                   4            -6.64523            -6.64643         0.000961134
                   5            -6.64716            -6.64657         0.000779958
                   6            -6.64635            -6.64654         0.000650847
                   7            -6.64691            -6.64659         0.000560035
                   8            -6.65191            -6.64726         0.000791865
                   9             -6.6455            -6.64706         0.000727631
                  10            -6.64504            -6.64686         0.000682232
                  11            -6.64494            -6.64668          0.00064223
                  12            -6.65001            -6.64696         0.000645728
                  13             -6.6453            -6.64683         0.000608588
                  14            -6.64887            -6.64698         0.000582224
                  15            -6.64651            -6.64695         0.000544248
                  16            -6.64863            -6.64705         0.000520319
                  17            -6.64246            -6.64678         0.000555413
                  18             -6.6471             -6.6468         0.000524835
                  19            -6.64516            -6.64671          0.00050429
                  20            -6.64999            -6.64688         0.000504931
                  21            -6.64819            -6.64694         0.000484715
                  22            -6.64773            -6.64698         0.000464015
                  23            -6.64488            -6.64688         0.000452701
                  24            -6.64379            -6.64676         0.000451833
                  25            -6.64805            -6.64681           0.0004367
                  26            -6.64406             -6.6467         0.000432523
                  27            -6.64508            -6.64664         0.000420639
                  28            -6.65191            -6.64683         0.000445714
                  29            -6.64901             -6.6469         0.000436652
                  30            -6.64528            -6.64685         0.000425437
                  31            -6.65046            -6.64697          0.00042739
                  32            -6.64699            -6.64697         0.000414034
                  33            -6.65017            -6.64707         0.000412722
                  34            -6.64704            -6.64706         0.000400584
                  35            -6.65055            -6.64716         0.000401294
                  36            -6.64853             -6.6472         0.000391926
                  37            -6.65114            -6.64731         0.000395506
                  38            -6.64696             -6.6473         0.000385206
                  39            -6.64972            -6.64736         0.000380292
                  40            -6.64976            -6.64742          0.00037547
                  41            -6.64618            -6.64739         0.000367531
                  42            -6.64836            -6.64741         0.000359507
                  43            -6.64595            -6.64738          0.00035276
                  44             -6.6519            -6.64748         0.000359416
                  45            -6.64484            -6.64742         0.000356178
                  46            -6.64862            -6.64745         0.000349383
                  47            -6.64642            -6.64743         0.000342634
                  48            -6.64956            -6.64747         0.000338372
                  49            -6.64818            -6.64749         0.000331774
                  50            -6.64492            -6.64744         0.000329096
                  51            -6.64705            -6.64743         0.000322729
                  52            -6.64562            -6.64739         0.000318392
                  53            -6.64133            -6.64728         0.000332313
                  54            -6.65046            -6.64734         0.000331346
                  55            -6.65103             -6.6474         0.000332057
                  56            -6.65342            -6.64751         0.000343066
                  57            -6.65028            -6.64756         0.000340463
                  58            -6.64849            -6.64758         0.000334971
                  59            -6.64335             -6.6475         0.000336879
                  60            -6.65185            -6.64758         0.000338959
                  61            -6.64944            -6.64761          0.00033477
                  62            -6.64641            -6.64759         0.000329929
                  63            -6.64812             -6.6476         0.000324798
                  64            -6.64562            -6.64757         0.000321193
                  65            -6.64819            -6.64758         0.000316394
                  66            -6.64855            -6.64759         0.000311948
                  67            -6.64711            -6.64758         0.000307373
                  68            -6.64771            -6.64759         0.000302858
                  69             -6.6458            -6.64756         0.000299577
                  70            -6.64708            -6.64755         0.000295375
                  71            -6.64357             -6.6475         0.000296503
                  72            -6.64974            -6.64753         0.000294012
                  73            -6.64769            -6.64753         0.000289994
                  74            -6.65048            -6.64757         0.000288799
                  75            -6.64937            -6.64759         0.000285943
                  76             -6.6477            -6.64759         0.000282183
                  77            -6.65299            -6.64766         0.000287081
                  78            -6.64598            -6.64764         0.000284211
                  79            -6.64862            -6.64766         0.000280882
                  80            -6.64515            -6.64762         0.000279115
                  81            -6.64276            -6.64756         0.000282061
                  82            -6.64847            -6.64758         0.000278839
                  83            -6.64316            -6.64752         0.000280509
                  84            -6.64469            -6.64749         0.000279195
                  85            -6.65062            -6.64753         0.000278324
                  86            -6.64579             -6.6475         0.000275817
                  87            -6.65206            -6.64756         0.000277561
                  88             -6.6452            -6.64753         0.000275702
                  89            -6.64958            -6.64755         0.000273567
                  90            -6.64981            -6.64758         0.000271678
                  91            -6.64682            -6.64757          0.00026882
                  92            -6.64909            -6.64759         0.000266404
                  93             -6.6477            -6.64759         0.000263542
                  94              -6.642            -6.64753         0.000267362
                  95            -6.65573            -6.64761         0.000278135
                  96            -6.64095            -6.64755         0.000283772
                  97            -6.65071            -6.64758         0.000282721
                  98            -6.65149            -6.64762         0.000282634
                  99            -6.64944            -6.64764         0.000280379
                 100            -6.64757            -6.64764         0.000277576
