#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1        9.688879e+00        9.688879e+00        0.000000e+00
                   2        9.683949e+00        9.686414e+00        1.743182e-03
                   3        9.708213e+00        9.693680e+00        6.045671e-03
                   4        9.686693e+00        9.691933e+00        4.779938e-03
                   5        9.692724e+00        9.692091e+00        3.826565e-03
                   6        9.700767e+00        9.693537e+00        3.451178e-03
                   7        9.704818e+00        9.695149e+00        3.313119e-03
                   8        9.676959e+00        9.692875e+00        3.595517e-03
                   9        9.716803e+00        9.695534e+00        4.061691e-03
                  10        9.694288e+00        9.695409e+00        3.657432e-03
                  11        9.714788e+00        9.697171e+00        3.725124e-03
                  12        9.667175e+00        9.694671e+00        4.169842e-03
                  13        9.697912e+00        9.694921e+00        3.856530e-03
                  14        9.703603e+00        9.695541e+00        3.630588e-03
                  15        9.697225e+00        9.695653e+00        3.390284e-03
                  16        9.676696e+00        9.694468e+00        3.379094e-03
                  17        9.712833e+00        9.695548e+00        3.348548e-03
                  18        9.717568e+00        9.696772e+00        3.378584e-03
                  19        9.695176e+00        9.696688e+00        3.201807e-03
                  20        9.682926e+00        9.696000e+00        3.114772e-03
                  21        9.693207e+00        9.695867e+00        2.969288e-03
                  22        9.703459e+00        9.696212e+00        2.854304e-03
                  23        9.709600e+00        9.696794e+00        2.788925e-03
                  24        9.711418e+00        9.697403e+00        2.738480e-03
                  25        9.715333e+00        9.698120e+00        2.721235e-03
                  26        9.703125e+00        9.698313e+00        2.623371e-03
                  27        9.717731e+00        9.699032e+00        2.622938e-03
                  28        9.689662e+00        9.698697e+00        2.550523e-03
                  29        9.681612e+00        9.698108e+00        2.529701e-03
                  30        9.683191e+00        9.697611e+00        2.493770e-03
                  31        9.691777e+00        9.697423e+00        2.420418e-03
                  32        9.696402e+00        9.697391e+00        2.344990e-03
                  33        9.707547e+00        9.697699e+00        2.294036e-03
                  34        9.707534e+00        9.697988e+00        2.244730e-03
                  35        9.705284e+00        9.698196e+00        2.190253e-03
                  36        9.707873e+00        9.698465e+00        2.145843e-03
                  37        9.694702e+00        9.698364e+00        2.090257e-03
                  38        9.714768e+00        9.698795e+00        2.079349e-03
                  39        9.700311e+00        9.698834e+00        2.026396e-03
                  40        9.691706e+00        9.698656e+00        1.983557e-03
                  41        9.704797e+00        9.698806e+00        1.940824e-03
                  42        9.685575e+00        9.698491e+00        1.920010e-03
                  43        9.707745e+00        9.698706e+00        1.887382e-03
                  44        9.669710e+00        9.698047e+00        1.956154e-03
                  45        9.708256e+00        9.698274e+00        1.925795e-03
                  46        9.691826e+00        9.698134e+00        1.889025e-03
                  47        9.717109e+00        9.698537e+00        1.891485e-03
