#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1        8.104283e-01        8.104283e-01        0.000000e+00
                   2        8.094668e-01        8.099475e-01        3.399256e-04
                   3        8.074734e-01        8.091228e-01        7.104812e-04
                   4        8.087349e-01        8.090258e-01        5.394393e-04
                   5        8.098862e-01        8.091979e-01        4.581771e-04
                   6        8.092948e-01        8.092141e-01        3.820985e-04
                   7        8.093836e-01        8.092383e-01        3.282799e-04
                   8        8.125408e-01        8.096511e-01        4.812764e-04
                   9        8.083338e-01        8.095047e-01        4.495085e-04
                  10        8.088040e-01        8.094347e-01        4.099835e-04
                  11        8.085396e-01        8.093533e-01        3.807010e-04
                  12        8.112241e-01        8.095092e-01        3.795578e-04
                  13        8.087165e-01        8.094482e-01        3.552249e-04
                  14        8.109308e-01        8.095541e-01        3.452758e-04
                  15        8.092432e-01        8.095334e-01        3.228789e-04
                  16        8.103945e-01        8.095872e-01        3.071517e-04
                  17        8.064904e-01        8.094050e-01        3.388234e-04
                  18        8.099177e-01        8.094335e-01        3.211947e-04
                  19        8.090522e-01        8.094135e-01        3.049160e-04
                  20        8.113262e-01        8.095091e-01        3.042988e-04
                  21        8.102051e-01        8.095422e-01        2.916079e-04
                  22        8.105249e-01        8.095869e-01        2.817532e-04
                  23        8.078160e-01        8.095099e-01        2.798256e-04
                  24        8.077031e-01        8.094346e-01        2.781088e-04
                  25        8.102114e-01        8.094657e-01        2.687146e-04
                  26        8.080424e-01        8.094110e-01        2.638963e-04
                  27        8.080413e-01        8.093602e-01        2.589521e-04
                  28        8.126968e-01        8.094794e-01        2.757626e-04
                  29        8.110078e-01        8.095321e-01        2.712429e-04
                  30        8.094894e-01        8.095307e-01        2.622052e-04
                  31        8.118389e-01        8.096051e-01        2.641075e-04
                  32        8.096533e-01        8.096066e-01        2.558585e-04
                  33        8.113621e-01        8.096598e-01        2.535748e-04
                  34        8.099591e-01        8.096686e-01        2.462694e-04
                  35        8.119849e-01        8.097348e-01        2.479658e-04
                  36        8.107266e-01        8.097624e-01        2.426035e-04
                  37        8.125441e-01        8.098375e-01        2.474218e-04
                  38        8.095282e-01        8.098294e-01        2.410445e-04
                  39        8.109160e-01        8.098573e-01        2.364687e-04
                  40        8.115745e-01        8.099002e-01        2.344219e-04
                  41        8.090582e-01        8.098797e-01        2.296021e-04
                  42        8.103385e-01        8.098906e-01        2.243951e-04
                  43        8.083321e-01        8.098543e-01        2.220844e-04
                  44        8.125814e-01        8.099163e-01        2.255198e-04
                  45        8.083085e-01        8.098806e-01        2.233205e-04
                  46        8.111548e-01        8.099083e-01        2.201770e-04
                  47        8.090644e-01        8.098903e-01        2.162233e-04
                  48        8.114357e-01        8.099225e-01        2.141020e-04
                  49        8.104692e-01        8.099337e-01        2.100230e-04
                  50        8.079889e-01        8.098948e-01        2.093931e-04
                  51        8.098903e-01        8.098947e-01        2.052874e-04
                  52        8.092920e-01        8.098831e-01        2.016665e-04
                  53        8.064478e-01        8.098183e-01        2.080169e-04
                  54        8.112889e-01        8.098455e-01        2.059398e-04
                  55        8.120935e-01        8.098864e-01        2.062115e-04
                  56        8.136717e-01        8.099540e-01        2.133205e-04
                  57        8.114936e-01        8.099810e-01        2.112810e-04
                  58        8.107131e-01        8.099936e-01        2.080149e-04
                  59        8.077203e-01        8.099551e-01        2.080271e-04
                  60        8.126889e-01        8.100007e-01        2.094902e-04
                  61        8.114401e-01        8.100243e-01        2.073808e-04
                  62        8.090467e-01        8.100085e-01        2.046345e-04
                  63        8.102977e-01        8.100131e-01        2.014378e-04
                  64        8.086064e-01        8.099911e-01        1.994858e-04
                  65        8.106399e-01        8.100011e-01        1.966663e-04
                  66        8.102459e-01        8.100048e-01        1.937215e-04
                  67        8.100344e-01        8.100052e-01        1.908306e-04
                  68        8.101232e-01        8.100070e-01        1.880322e-04
                  69        8.092671e-01        8.099962e-01        1.856126e-04
                  70        8.095519e-01        8.099899e-01        1.830695e-04
                  71        8.072461e-01        8.099513e-01        1.845248e-04
                  72        8.108809e-01        8.099642e-01        1.824131e-04
                  73        8.094526e-01        8.099572e-01        1.800488e-04
                  74        8.119088e-01        8.099835e-01        1.795370e-04
                  75        8.110958e-01        8.099984e-01        1.777547e-04
                  76        8.106453e-01        8.100069e-01        1.756195e-04
