#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1       -5.433576e+00        -5.433576e+00         0.000000e+00
                   2       -5.432898e+00        -5.433237e+00         2.397266e-04
                   3       -5.432957e+00        -5.433143e+00         1.771096e-04
                   4       -5.432129e+00        -5.432890e+00         2.566359e-04
                   5       -5.432331e+00        -5.432778e+00         2.283843e-04
                   6       -5.432410e+00        -5.432717e+00         1.983774e-04
                   7       -5.432835e+00        -5.432734e+00         1.707495e-04
                   8       -5.433100e+00        -5.432779e+00         1.554136e-04
                   9       -5.432995e+00        -5.432803e+00         1.399839e-04
                  10       -5.431838e+00        -5.432707e+00         1.557430e-04
                  11       -5.432126e+00        -5.432654e+00         1.502734e-04
                  12       -5.433173e+00        -5.432697e+00         1.438382e-04
                  13       -5.432224e+00        -5.432661e+00         1.373074e-04
                  14       -5.432472e+00        -5.432647e+00         1.281579e-04
                  15       -5.432645e+00        -5.432647e+00         1.196142e-04
                  16       -5.433040e+00        -5.432672e+00         1.146341e-04
                  17       -5.432725e+00        -5.432675e+00         1.079339e-04
                  18       -5.432223e+00        -5.432650e+00         1.048213e-04
                  19       -5.431578e+00        -5.432593e+00         1.134674e-04
                  20       -5.432997e+00        -5.432614e+00         1.095762e-04
                  21       -5.432878e+00        -5.432626e+00         1.050783e-04
                  22       -5.431944e+00        -5.432595e+00         1.047826e-04
                  23       -5.433155e+00        -5.432619e+00         1.030199e-04
                  24       -5.432235e+00        -5.432603e+00         9.996733e-05
                  25       -5.432729e+00        -5.432608e+00         9.609507e-05
                  26       -5.431993e+00        -5.432585e+00         9.526612e-05
                  27       -5.433020e+00        -5.432601e+00         9.309363e-05
                  28       -5.432864e+00        -5.432610e+00         9.024260e-05
                  29       -5.432500e+00        -5.432607e+00         8.721040e-05
                  30       -5.431047e+00        -5.432555e+00         9.858492e-05
                  31       -5.432706e+00        -5.432559e+00         9.552639e-05
                  32       -5.432515e+00        -5.432558e+00         9.255144e-05
                  33       -5.433130e+00        -5.432575e+00         9.135493e-05
                  34       -5.432100e+00        -5.432561e+00         8.973323e-05
                  35       -5.432568e+00        -5.432562e+00         8.716961e-05
                  36       -5.432436e+00        -5.432558e+00         8.481800e-05
                  37       -5.432321e+00        -5.432552e+00         8.276661e-05
                  38       -5.432664e+00        -5.432555e+00         8.064169e-05
                  39       -5.433344e+00        -5.432575e+00         8.107537e-05
                  40       -5.432395e+00        -5.432570e+00         7.917381e-05
                  41       -5.432592e+00        -5.432571e+00         7.724451e-05
                  42       -5.432854e+00        -5.432578e+00         7.569802e-05
                  43       -5.433449e+00        -5.432598e+00         7.660070e-05
                  44       -5.433031e+00        -5.432608e+00         7.549072e-05
                  45       -5.432381e+00        -5.432603e+00         7.398060e-05
                  46       -5.431888e+00        -5.432587e+00         7.398599e-05
                  47       -5.432825e+00        -5.432592e+00         7.258458e-05
                  48       -5.432410e+00        -5.432588e+00         7.117152e-05
                  49       -5.432475e+00        -5.432586e+00         6.975667e-05
                  50       -5.432933e+00        -5.432593e+00         6.870614e-05
                  51       -5.432216e+00        -5.432586e+00         6.775648e-05
                  52       -5.431681e+00        -5.432568e+00         6.865176e-05
                  53       -5.431656e+00        -5.432551e+00         6.947921e-05
                  54       -5.433528e+00        -5.432569e+00         7.051071e-05
                  55       -5.432891e+00        -5.432575e+00         6.947059e-05
                  56       -5.432913e+00        -5.432581e+00         6.849168e-05
                  57       -5.433038e+00        -5.432589e+00         6.775825e-05
                  58       -5.432422e+00        -5.432586e+00         6.665118e-05
                  59       -5.431766e+00        -5.432572e+00         6.695547e-05
                  60       -5.432817e+00        -5.432576e+00         6.596349e-05
                  61       -5.432276e+00        -5.432571e+00         6.506528e-05
                  62       -5.432839e+00        -5.432576e+00         6.415863e-05
                  63       -5.432670e+00        -5.432577e+00         6.315754e-05
                  64       -5.432707e+00        -5.432579e+00         6.220325e-05
                  65       -5.432227e+00        -5.432574e+00         6.148230e-05
                  66       -5.433186e+00        -5.432583e+00         6.124593e-05
                  67       -5.432063e+00        -5.432575e+00         6.082270e-05
                  68       -5.432524e+00        -5.432575e+00         5.993296e-05
                  69       -5.431895e+00        -5.432565e+00         5.986848e-05
                  70       -5.432753e+00        -5.432567e+00         5.907369e-05
                  71       -5.432697e+00        -5.432569e+00         5.826972e-05
                  72       -5.433415e+00        -5.432581e+00         5.863101e-05
                  73       -5.433516e+00        -5.432594e+00         5.921008e-05
                  74       -5.432614e+00        -5.432594e+00         5.841061e-05
                  75       -5.432725e+00        -5.432596e+00         5.765776e-05
                  76       -5.431730e+00        -5.432584e+00         5.801344e-05
                  77       -5.432161e+00        -5.432579e+00         5.751961e-05
                  78       -5.432688e+00        -5.432580e+00         5.679930e-05
                  79       -5.432619e+00        -5.432581e+00         5.608243e-05
                  80       -5.433040e+00        -5.432587e+00         5.567432e-05
                  81       -5.432585e+00        -5.432587e+00         5.498699e-05
                  82       -5.432516e+00        -5.432586e+00         5.432309e-05
                  83       -5.431599e+00        -5.432574e+00         5.495310e-05
                  84       -5.433238e+00        -5.432582e+00         5.486516e-05
                  85       -5.432680e+00        -5.432583e+00         5.423192e-05
                  86       -5.431556e+00        -5.432571e+00         5.490086e-05
                  87       -5.433615e+00        -5.432583e+00         5.556656e-05
                  88       -5.432159e+00        -5.432578e+00         5.514379e-05
                  89       -5.432162e+00        -5.432573e+00         5.472224e-05
                  90       -5.433294e+00        -5.432581e+00         5.469628e-05
                  91       -5.433301e+00        -5.432589e+00         5.466313e-05
                  92       -5.432594e+00        -5.432589e+00         5.406898e-05
                  93       -5.433584e+00        -5.432600e+00         5.453417e-05
                  94       -5.432258e+00        -5.432596e+00         5.407539e-05
                  95       -5.432414e+00        -5.432595e+00         5.354032e-05
                  96       -5.431943e+00        -5.432588e+00         5.341069e-05
                  97       -5.432751e+00        -5.432589e+00         5.288646e-05
                  98       -5.433877e+00        -5.432603e+00         5.395481e-05
                  99       -5.433661e+00        -5.432613e+00         5.445955e-05
                 100       -5.433091e+00        -5.432618e+00         5.412407e-05
