#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
                   1             1.65066             1.65066                   0
                   2             1.63424             1.64245          0.00580392
                   3             1.65622             1.64704          0.00538749
                   4             1.64517             1.64657          0.00406087
                   5               1.641             1.64546          0.00339814
                   6              1.6037              1.6385          0.00695619
                   7             1.66374             1.64211          0.00683331
                   8             1.68678             1.64769          0.00793959
                   9              1.6579             1.64882          0.00713794
                  10             1.62261              1.6462          0.00688869
                  11             1.65881             1.64735          0.00635709
                  12             1.64346             1.64702          0.00583557
                  13             1.64485             1.64686          0.00538907
                  14             1.67992             1.64922          0.00549719
                  15             1.67395             1.65087          0.00537236
                  16             1.66858             1.65198          0.00514936
                  17             1.66902             1.65298          0.00494311
                  18              1.6569              1.6532          0.00467329
                  19             1.65518              1.6533          0.00442849
                  20              1.6645             1.65386          0.00424231
                  21             1.67969             1.65509          0.00421479
                  22             1.64725             1.65473          0.00403824
                  23             1.66247             1.65507          0.00387664
                  24             1.67932             1.65608          0.00384459
                  25             1.67722             1.65693          0.00378268
                  26             1.65285             1.65677          0.00364045
                  27             1.67783             1.65755          0.00358824
                  28             1.65472             1.65745          0.00346151
                  29             1.62664             1.65639          0.00350137
                  30             1.64093             1.65587          0.00342234
                  31             1.69258             1.65705          0.00351083
                  32             1.69246             1.65816          0.00357125
                  33             1.66183             1.65827          0.00346476
                  34             1.64892               1.658          0.00337376
                  35             1.69651              1.6591          0.00345217
                  36             1.63961             1.65856          0.00339846
                  37             1.66535             1.65874          0.00331156
                  38             1.65927             1.65875          0.00322445
                  39             1.64427             1.65838           0.0031631
                  40             1.65753             1.65836          0.00308409
                  41             1.65733             1.65834          0.00300897
                  42             1.67675             1.65877          0.00296912
                  43             1.67363             1.65912          0.00292009
                  44             1.66799             1.65932          0.00286068
                  45             1.67074             1.65958          0.00280835
                  46             1.65816             1.65954          0.00274746
                  47              1.6455             1.65925          0.00270521
                  48             1.64229             1.65889           0.0026718
                  49             1.67766             1.65928           0.0026446
                  50             1.67704             1.65963          0.00261545
