#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                   1        1.100439e+00        1.100439e+00        0.000000e+00
                   2        1.089495e+00        1.094967e+00        3.869282e-03
                   3        1.104150e+00        1.098028e+00        3.591660e-03
                   4        1.096781e+00        1.097716e+00        2.707246e-03
                   5        1.094002e+00        1.096973e+00        2.265428e-03
                   6        1.069133e+00        1.092333e+00        4.637462e-03
                   7        1.109159e+00        1.094737e+00        4.555540e-03
                   8        1.124520e+00        1.098460e+00        5.293060e-03
                   9        1.105264e+00        1.099216e+00        4.758625e-03
                  10        1.081740e+00        1.097468e+00        4.592461e-03
                  11        1.105874e+00        1.098232e+00        4.238060e-03
                  12        1.095643e+00        1.098017e+00        3.890378e-03
                  13        1.096568e+00        1.097905e+00        3.592715e-03
                  14        1.119944e+00        1.099479e+00        3.664794e-03
                  15        1.115970e+00        1.100579e+00        3.581576e-03
                  16        1.112386e+00        1.101317e+00        3.432908e-03
                  17        1.112680e+00        1.101985e+00        3.295404e-03
                  18        1.104600e+00        1.102130e+00        3.115526e-03
                  19        1.103452e+00        1.102200e+00        2.952327e-03
                  20        1.109665e+00        1.102573e+00        2.828208e-03
                  21        1.119791e+00        1.103393e+00        2.809858e-03
                  22        1.098167e+00        1.103156e+00        2.692161e-03
                  23        1.108311e+00        1.103380e+00        2.584425e-03
                  24        1.119550e+00        1.104053e+00        2.563059e-03
                  25        1.118149e+00        1.104617e+00        2.521789e-03
                  26        1.101897e+00        1.104513e+00        2.426966e-03
                  27        1.118556e+00        1.105033e+00        2.392162e-03
                  28        1.103148e+00        1.104965e+00        2.307675e-03
                  29        1.084427e+00        1.104257e+00        2.334244e-03
                  30        1.093954e+00        1.103914e+00        2.281560e-03
                  31        1.128386e+00        1.104703e+00        2.340551e-03
                  32        1.128310e+00        1.105441e+00        2.380830e-03
                  33        1.107889e+00        1.105515e+00        2.309839e-03
                  34        1.099280e+00        1.105332e+00        2.249171e-03
                  35        1.131009e+00        1.106065e+00        2.301447e-03
                  36        1.093073e+00        1.105704e+00        2.265637e-03
                  37        1.110234e+00        1.105827e+00        2.207709e-03
                  38        1.106178e+00        1.105836e+00        2.149630e-03
                  39        1.096177e+00        1.105588e+00        2.108730e-03
                  40        1.105018e+00        1.105574e+00        2.056060e-03
                  41        1.104885e+00        1.105557e+00        2.005981e-03
                  42        1.117837e+00        1.105850e+00        1.979410e-03
                  43        1.115752e+00        1.106080e+00        1.946728e-03
                  44        1.111994e+00        1.106214e+00        1.907119e-03
                  45        1.113829e+00        1.106384e+00        1.872231e-03
                  46        1.105443e+00        1.106363e+00        1.831642e-03
                  47        1.096999e+00        1.106164e+00        1.803474e-03
                  48        1.094863e+00        1.105929e+00        1.781203e-03
                  49        1.118442e+00        1.106184e+00        1.763064e-03
                  50        1.118025e+00        1.106421e+00        1.743634e-03
