#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1       -3.362475e+00        -3.362475e+00         0.000000e+00
                   2       -3.363102e+00        -3.362789e+00         2.216975e-04
                   3       -3.363596e+00        -3.363058e+00         2.648781e-04
                   4       -3.362736e+00        -3.362977e+00         2.105062e-04
                   5       -3.364860e+00        -3.363354e+00         3.765607e-04
                   6       -3.364658e+00        -3.363571e+00         3.712443e-04
                   7       -3.362977e+00        -3.363486e+00         3.277674e-04
                   8       -3.364388e+00        -3.363599e+00         3.055620e-04
                   9       -3.364459e+00        -3.363695e+00         2.861543e-04
                  10       -3.364958e+00        -3.363821e+00         2.840571e-04
                  11       -3.363393e+00        -3.363782e+00         2.608840e-04
                  12       -3.362891e+00        -3.363708e+00         2.494979e-04
                  13       -3.363176e+00        -3.363667e+00         2.336309e-04
                  14       -3.364504e+00        -3.363727e+00         2.244709e-04
                  15       -3.364084e+00        -3.363751e+00         2.107654e-04
                  16       -3.363930e+00        -3.363762e+00         1.978913e-04
                  17       -3.363364e+00        -3.363738e+00         1.876266e-04
                  18       -3.362978e+00        -3.363696e+00         1.818976e-04
                  19       -3.362460e+00        -3.363631e+00         1.835846e-04
                  20       -3.362832e+00        -3.363591e+00         1.787018e-04
                  21       -3.365430e+00        -3.363679e+00         1.904339e-04
                  22       -3.361077e+00        -3.363560e+00         2.153932e-04
                  23       -3.361431e+00        -3.363468e+00         2.250415e-04
                  24       -3.364308e+00        -3.363503e+00         2.183702e-04
                  25       -3.362065e+00        -3.363445e+00         2.170768e-04
                  26       -3.362462e+00        -3.363408e+00         2.119959e-04
                  27       -3.363638e+00        -3.363416e+00         2.043166e-04
                  28       -3.364069e+00        -3.363439e+00         1.983450e-04
                  29       -3.363480e+00        -3.363441e+00         1.915104e-04
                  30       -3.362473e+00        -3.363409e+00         1.878240e-04
                  31       -3.362939e+00        -3.363393e+00         1.823749e-04
                  32       -3.362525e+00        -3.363366e+00         1.786840e-04
                  33       -3.363827e+00        -3.363380e+00         1.738132e-04
                  34       -3.363254e+00        -3.363377e+00         1.687404e-04
                  35       -3.364237e+00        -3.363401e+00         1.656994e-04
                  36       -3.362204e+00        -3.363368e+00         1.644017e-04
                  37       -3.361483e+00        -3.363317e+00         1.676678e-04
                  38       -3.362860e+00        -3.363305e+00         1.636852e-04
                  39       -3.362255e+00        -3.363278e+00         1.616862e-04
                  40       -3.363925e+00        -3.363294e+00         1.584513e-04
                  41       -3.362783e+00        -3.363282e+00         1.550762e-04
                  42       -3.364008e+00        -3.363299e+00         1.523444e-04
                  43       -3.363490e+00        -3.363303e+00         1.488661e-04
                  44       -3.362639e+00        -3.363288e+00         1.462459e-04
                  45       -3.362001e+00        -3.363260e+00         1.457683e-04
                  46       -3.363333e+00        -3.363261e+00         1.426082e-04
                  47       -3.362921e+00        -3.363254e+00         1.397575e-04
                  48       -3.362807e+00        -3.363245e+00         1.371552e-04
                  49       -3.363107e+00        -3.363242e+00         1.343851e-04
                  50       -3.364805e+00        -3.363273e+00         1.352838e-04
