#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.5022              0.5022                   0
                   2               0.804              0.6531            0.106702
                   3              0.8735            0.726567           0.0930506
                   4               0.912            0.772925            0.080512
                   5              0.9594             0.81022            0.072535
                   6              0.5472            0.766383           0.0724919
                   7              0.6804              0.7541            0.063168
                   8              1.0203            0.787375           0.0634336
                   9               0.938            0.804111           0.0585516
                  10              0.5299             0.77669           0.0587677
                  11              0.9158            0.789336            0.054769
                  12              0.6977              0.7817           0.0507345
                  13              0.7844            0.781908           0.0468322
                  14              0.5263             0.76365           0.0469112
                  15              0.5312            0.748153           0.0462726
                  16              0.4864            0.731794           0.0461821
                  17              0.4552            0.715524           0.0462428
                  18              0.9111            0.726389           0.0449321
                  19              0.8798            0.734463           0.0432866
                  20              0.7502             0.73525           0.0411295
