#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.328652            -0.328652                    0
                   2           -0.329288             -0.32897           0.00022486
                   3           -0.328984            -0.328975          0.000149955
                   4           -0.328492            -0.328854          0.000153522
                   5           -0.326888            -0.328461          0.000372517
                   6           -0.328324            -0.328438          0.000311128
                   7           -0.328444            -0.328439          0.000266682
                   8            -0.33012            -0.328649          0.000305108
                   9           -0.326492            -0.328409          0.000353003
                  10            -0.32776            -0.328344           0.00032362
                  11           -0.326108            -0.328141          0.000352321
                  12           -0.328488             -0.32817          0.000324145
                  13           -0.327432            -0.328113          0.000304141
                  14           -0.328728            -0.328157           0.00028557
                  15           -0.326744            -0.328063          0.000281643
                  16           -0.329556            -0.328156          0.000279072
                  17           -0.327112            -0.328095          0.000269331
                  18           -0.328792            -0.328134          0.000257138
                  19           -0.327008            -0.328074          0.000250336
                  20           -0.328076            -0.328074          0.000237819
