#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             32.0752             32.0752                   0
                   2             32.7814             32.4283            0.249679
                   3             31.8333               32.23            0.232236
                   4              32.045             32.1837            0.178721
                   5             33.0773             32.3624            0.214458
                   6             32.9591             32.4619            0.200448
                   7             33.0223             32.5419            0.187118
                   8             32.4843             32.5347            0.163867
                   9             32.0415             32.4799            0.154553
                  10             32.8442             32.5163            0.143326
                  11             32.3971             32.5055            0.130706
                  12             32.8037             32.5304            0.122154
                  13             32.3364             32.5154            0.113665
                  14             32.0175             32.4799             0.11097
                  15             31.9906             32.4472             0.10826
                  16             32.3199             32.4393            0.101786
                  17             31.6395             32.3922            0.106115
                  18             32.7834              32.414            0.102421
                  19             31.7619             32.3797             0.10262
                  20             32.3843             32.3799           0.0974889
