#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             21.6534             21.6534                   0
                   2             20.4326              21.043            0.431622
                   3             21.4092             21.1651            0.304517
                   4              21.809              21.326            0.267582
                   5             21.7182             21.4045            0.225267
                   6             21.0666             21.3482            0.194636
                   7             21.0601              21.307            0.171126
                   8             20.7135             21.2328            0.165033
                   9             21.3433             21.2451            0.147152
                  10             20.8407             21.2047            0.137881
                  11             21.3726             21.2199            0.126189
                  12              21.498             21.2431            0.117781
                  13             21.5068             21.2634            0.110454
                  14              21.158             21.2559             0.10282
                  15             20.8117             21.2262             0.10014
                  16             21.9223             21.2697            0.102897
                  17             21.5529             21.2864           0.0981824
                  18             21.9017             21.3206           0.0984983
                  19             21.8342             21.3476           0.0969527
                  20             20.8804             21.3243           0.0948775
