#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
                   1              0.7695              0.7695                   0
                   2              0.6519              0.7107           0.0415779
                   3              0.6718            0.697733           0.0296717
                   4              0.5175            0.652675           0.0449213
                   5              0.4264             0.60742           0.0541284
                   6              0.4874            0.587417            0.048663
                   7               0.565            0.584214           0.0418163
                   8               0.683            0.596562           0.0383692
                   9               0.694            0.607389           0.0356006
                  10              0.4124             0.58789           0.0369971
                  11              0.7573            0.603291           0.0366995
                  12              0.8736            0.625817           0.0399607
                  13              0.7474            0.635169           0.0379655
                  14              0.6427            0.635707           0.0352574
                  15               0.465            0.624327           0.0346951
                  16              0.6828            0.627981           0.0327185
                  17              0.6545            0.629541           0.0308311
                  18              0.6713            0.631861           0.0292054
                  19              0.7212            0.636563           0.0280442
                  20                0.58            0.633735           0.0267842
