#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             59.9194             59.9194                   0
                   2             60.9493             60.4344            0.364102
                   3             58.9604              59.943            0.468886
                   4             61.3979             60.3068            0.472112
                   5             60.8537             60.4162            0.390159
                   6             58.6765             60.1262            0.419243
                   7             60.2147             60.1389            0.359542
                   8             60.5214             60.1867            0.317763
                   9             61.5772             60.3412            0.317807
                  10             59.7256             60.2796            0.291928
                  11             61.5446             60.3946            0.287146
                  12             61.5779             60.4932            0.279636
                  13             62.0799             60.6153            0.283513
                  14             59.7864             60.5561            0.269374
                  15             60.8802             60.5777            0.252281
                  16             61.9926             60.6661            0.251535
                  17             60.3982             60.6503            0.237232
                  18              59.447             60.5835            0.233282
                  19             60.3819             60.5729            0.221245
                  20             60.1062             60.5495             0.21141
