#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1            -0.37982             -0.37982                    0
                   2           -0.381568            -0.380694          0.000618011
                   3           -0.382272             -0.38122          0.000595148
                   4           -0.381064            -0.381181          0.000447637
                   5            -0.37876            -0.380697          0.000561963
                   6           -0.381516            -0.380833          0.000484604
                   7           -0.378968            -0.380567          0.000483117
                   8           -0.378832             -0.38035          0.000468878
                   9            -0.37978            -0.380287          0.000421036
                  10           -0.380704            -0.380328          0.000380996
                  11           -0.380096            -0.380307          0.000346945
                  12           -0.379288            -0.380222          0.000328266
                  13            -0.38152            -0.380322          0.000317829
                  14           -0.381048            -0.380374          0.000299326
                  15           -0.379984            -0.380348          0.000280498
                  16           -0.381012            -0.380389          0.000266019
                  17           -0.380428            -0.380392           0.00025038
                  18           -0.380352             -0.38039           0.00023648
                  19           -0.380208             -0.38038          0.000224227
                  20           -0.379652            -0.380344           0.00021595
