#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1             6.25196             6.25196                   0
                   2              6.3176             6.28478           0.0232085
                   3             6.29767             6.28908           0.0158651
                   4             6.24821             6.27886           0.0148286
                   5             6.38461             6.30001           0.0223287
                   6             6.24747             6.29125           0.0202519
                   7             6.29862             6.29231           0.0173861
                   8             6.35988             6.30075           0.0171423
                   9             6.23409             6.29334           0.0167617
                  10             6.27391              6.2914           0.0151978
                  11             6.25953              6.2885           0.0140897
                  12             6.21607             6.28247           0.0141496
                  13             6.37436             6.28954           0.0147212
                  14             6.31775             6.29155            0.013807
                  15             6.32969             6.29409           0.0131186
                  16              6.3172             6.29554           0.0123779
                  17             6.37233             6.30006           0.0124468
                  18             6.24453             6.29697           0.0121315
                  19             6.34922             6.29972           0.0118005
                  20             6.20331              6.2949           0.0121553
