#   N_BLOCK:  ACCEPTANCE:
           1    0.675053
           2    0.674958
           3    0.674988
           4    0.675037
           5    0.674998
           6    0.675035
           7    0.675134
           8     0.67522
           9    0.675222
          10    0.675171
          11    0.675137
          12    0.675199
          13    0.675188
          14    0.675175
          15    0.675138
          16    0.675093
          17    0.675114
          18    0.675106
          19    0.675145
          20    0.675164
