#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
                   1              5.0333              5.0333                   0
                   2             4.97965             5.00647           0.0189702
                   3             5.11069             5.04121            0.031056
                   4             4.97777             5.02535             0.02704
                   5             4.96999             5.01428           0.0237911
                   6              5.0237             5.01585           0.0198777
                   7             5.07985             5.02499            0.019025
                   8             5.03432             5.02616           0.0166825
                   9             4.91889             5.01424           0.0186056
                  10             5.01588             5.01441           0.0167458
                  11             4.95905             5.00937           0.0159618
                  12             4.92853             5.00264           0.0159902
                  13             5.10644             5.01062           0.0166348
                  14             4.93337              5.0051           0.0163361
                  15             4.95986             5.00209           0.0155229
                  16             4.96825             4.99997           0.0146961
                  17              5.0584             5.00341           0.0142278
                  18              5.0459             5.00577           0.0136319
                  19             4.93798              5.0022           0.0133732
                  20               5.004             5.00229           0.0127048
