#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
                   1             31.9174             31.9174                   0
                   2             32.4653             32.1913              0.1937
                   3              32.953             32.4452             0.24423
                   4             33.4265             32.6906             0.28052
                   5             32.1625             32.5849            0.243484
                   6             32.3123             32.5395            0.207099
                   7             32.4276             32.5235            0.178129
                   8             32.8155               32.56            0.159557
                   9             32.0591             32.5044            0.151224
                  10              33.368             32.5907             0.15886
                  11              32.675             32.5984            0.144603
                  12             32.4457             32.5857            0.133111
                  13             33.2324             32.6354            0.131841
                  14             32.1791             32.6028            0.126389
                  15              32.463             32.5935            0.118306
                  16             32.9217              32.614            0.112677
                  17             32.1041              32.584            0.109968
                  18             33.0421             32.6095            0.106763
                  19             32.4293                32.6            0.101564
                  20             33.4542             32.6427            0.105083
