#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
                   1           -0.323846            -0.323846                    0
                   2           -0.323199            -0.323522          0.000228848
                   3           -0.323879            -0.323641           0.00018089
                   4           -0.322645            -0.323392          0.000254838
                   5           -0.322174            -0.323148          0.000298463
                   6           -0.320569            -0.322718          0.000464629
                   7           -0.320183            -0.322356          0.000520657
                   8           -0.320402            -0.322112          0.000509693
                   9           -0.321722            -0.322069          0.000454897
                  10           -0.324754            -0.322337           0.00048221
                  11           -0.322447            -0.322347          0.000438476
                  12           -0.322087            -0.322325          0.000402472
                  13           -0.322569            -0.322344          0.000371947
                  14           -0.322336            -0.322344           0.00034538
                  15           -0.323166            -0.322398          0.000326674
                  16           -0.323339            -0.322457          0.000311506
                  17           -0.322397            -0.322454          0.000293203
                  18             -0.3222            -0.322439          0.000277253
                  19            -0.32224            -0.322429          0.000262859
                  20           -0.321425            -0.322379          0.000254462
