#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1             -6.5015             -6.5015                   0
                   2            -6.41142            -6.45646           0.0318475
                   3            -6.33674            -6.41656            0.038891
                   4             -6.2379            -6.37189           0.0484454
                   5            -6.18086            -6.33369           0.0516704
                   6            -6.17641            -6.30747            0.049261
                   7            -6.19677            -6.29166           0.0446903
                   8            -6.17328            -6.27686           0.0414814
                   9             -6.1626            -6.26416           0.0387665
                  10            -6.17998            -6.25575           0.0357922
                  11            -6.07126            -6.23897           0.0362556
                  12             -5.9841            -6.21774           0.0389619
                  13            -5.94433             -6.1967           0.0412524
                  14            -5.88838            -6.17468           0.0437918
                  15            -5.93212            -6.15851           0.0437562
                  16            -5.88236            -6.14125           0.0442948
                  17            -5.87456            -6.12556           0.0443804
                  18            -5.84811            -6.11015           0.0445112
                  19            -5.84979            -6.09645           0.0442275
                  20            -5.85435            -6.08434           0.0436412
                  21            -5.89407            -6.07528           0.0424932
                  22            -5.88491            -6.06663           0.0414333
                  23             -5.8533            -6.05735           0.0406567
                  24            -5.86368            -6.04928           0.0397555
                  25            -5.90149            -6.04337           0.0386023
                  26            -5.78551            -6.03345           0.0383705
                  27            -5.71967            -6.02183           0.0386693
                  28            -5.82875            -6.01494           0.0378981
                  29            -5.93165            -6.01206           0.0366999
                  30            -5.81885            -6.00562           0.0360373
                  31              -5.766            -5.99789           0.0356942
                  32            -5.77317            -5.99087           0.0352628
                  33            -5.76428              -5.984           0.0348563
                  34            -5.87937            -5.98093           0.0339667
                  35            -5.76853            -5.97486            0.033534
                  36            -5.94214            -5.97395           0.0326148
                  37            -5.87941            -5.97139           0.0318332
                  38            -5.88393            -5.96909           0.0310786
                  39            -5.82369            -5.96536           0.0305046
                  40            -5.80637            -5.96139           0.0299998
                  41            -5.85563            -5.95881           0.0293788
                  42            -5.85333             -5.9563           0.0287865
                  43            -5.85195            -5.95387           0.0282191
                  44            -5.77027             -5.9497           0.0278845
                  45            -5.73521            -5.94493           0.0276693
                  46             -5.7125            -5.93988           0.0275253
                  47            -5.67335            -5.93421           0.0275176
                  48            -5.67917             -5.9289           0.0274525
                  49            -5.74578            -5.92516           0.0271454
                  50            -5.77457            -5.92215            0.026769
                  51            -5.76024            -5.91897           0.0264317
                  52            -5.73284            -5.91539           0.0261647
                  53            -5.67752             -5.9109           0.0260531
                  54            -5.64381            -5.90596           0.0260359
                  55            -5.57702            -5.89998           0.0262405
                  56            -5.63862            -5.89531           0.0261837
                  57            -5.61434            -5.89038           0.0261842
                  58            -5.61672            -5.88566           0.0261544
                  59            -5.59919            -5.88081           0.0261579
                  60            -5.53718            -5.87508           0.0263414
                  61            -5.43793            -5.86791           0.0268667
                  62             -5.4899            -5.86182           0.0271164
                  63            -5.50192             -5.8561           0.0272811
                  64             -5.4761            -5.85017           0.0274933
                  65            -5.45703            -5.84412           0.0277277
                  66            -5.44432            -5.83806           0.0279614
                  67            -5.42993            -5.83197           0.0281998
                  68            -5.53796            -5.82765           0.0281146
                  69            -5.54757            -5.82359           0.0279986
                  70            -5.59571            -5.82033           0.0277873
                  71            -5.59046            -5.81709           0.0275839
                  72            -5.57812            -5.81377           0.0273997
                  73            -5.54635            -5.81011           0.0272682
                  74            -5.59631            -5.80722           0.0270523
                  75            -5.58447            -5.80425           0.0268541
                  76             -5.5316            -5.80066           0.0267394
                  77            -5.54702            -5.79737           0.0265942
                  78             -5.5711            -5.79447            0.026411
                  79             -5.5889            -5.79187           0.0262046
                  80            -5.61028             -5.7896           0.0259751
                  81            -5.55386            -5.78669            0.025817
                  82            -5.48055            -5.78295           0.0257707
                  83            -5.46548            -5.77913           0.0257425
                  84             -5.5079             -5.7759           0.0256377
                  85            -5.47192            -5.77232           0.0255843
                  86            -5.52866            -5.76949           0.0254432
                  87            -5.58525            -5.76737           0.0252388
                  88            -5.52159            -5.76458            0.025106
                  89            -5.48651            -5.76146           0.0250176
                  90            -5.63204            -5.76002           0.0247809
                  91             -5.6495             -5.7588           0.0245383
                  92            -5.46032            -5.75556           0.0244851
                  93            -5.44947            -5.75227           0.0244421
                  94            -5.45374            -5.74909           0.0243875
                  95            -5.55423            -5.74704           0.0242169
                  96            -5.48017            -5.74426           0.0241236
                  97            -5.48065            -5.74154           0.0240275
                  98            -5.50945            -5.73917           0.0238988
                  99             -5.5304            -5.73707           0.0237502
                 100            -5.61233            -5.73582           0.0235455
                 101             -5.5492            -5.73397           0.0233847
                 102            -5.59776            -5.73264           0.0231936
                 103             -5.5688            -5.73104           0.0230229
                 104            -5.60223            -5.72981           0.0228348
                 105            -5.60666            -5.72863           0.0226474
                 106             -5.6074            -5.72749           0.0224626
                 107            -5.54534            -5.72579           0.0223171
                 108            -5.59116            -5.72454           0.0221452
                 109            -5.57625            -5.72318           0.0219838
