# DISTANCE:     AVE_GOFR:        ERROR:
            0.064633                   0                   0
            0.129266                   0                   0
            0.193899                   0                   0
            0.258532                   0                   0
            0.323165                   0                   0
            0.387798                   0                   0
            0.452431                   0                   0
            0.517064                   0                   0
            0.581697                   0                   0
             0.64633                   0                   0
            0.710963                   0                   0
            0.775596                   0                   0
             0.84023          0.00484933         0.000583713
            0.904863            0.791851           0.0106957
            0.969496             5.75143           0.0707877
             1.03413             11.0071            0.128508
             1.09876             12.2224            0.134087
             1.16339              11.263             0.11843
             1.22803             9.89253             0.10061
             1.29266             8.71145           0.0904335
             1.35729             7.80484           0.0810733
             1.42193             7.16424           0.0683574
             1.48656              6.7136           0.0619995
             1.55119             6.38806            0.060008
             1.61583             6.17399           0.0584824
             1.68046             6.00772           0.0561797
             1.74509              5.8876           0.0563323
             1.80973              5.8055            0.057822
             1.87436             5.76329           0.0567491
             1.93899             5.74499           0.0563184
             2.00362             5.72202           0.0552017
             2.06826             5.71957           0.0553012
             2.13289             5.69521           0.0520409
             2.19752             5.67554           0.0518744
             2.26216             5.65192           0.0506779
             2.32679             5.61761           0.0470615
             2.39142             5.60273           0.0439878
             2.45606              5.5817           0.0420441
             2.52069             5.55757           0.0424754
             2.58532             5.51987           0.0396754
             2.64995             5.50386           0.0359499
             2.71459             5.48439           0.0357212
             2.77922              5.4751           0.0347188
             2.84385              5.4678            0.032919
             2.90849             5.43762            0.030643
             2.97312             5.43604           0.0294858
             3.03775             5.42253           0.0291201
             3.10239             5.42762           0.0280602
             3.16702             5.42317           0.0267063
             3.23165             5.41055           0.0261892
             3.29629             5.40334           0.0266907
             3.36092             5.40969           0.0263623
             3.42555             5.40014           0.0255712
             3.49018             5.38695           0.0233202
             3.55482             5.38343           0.0225008
             3.61945             5.37716           0.0207689
             3.68408             5.36386           0.0190249
             3.74872             5.36521           0.0178477
             3.81335             5.37573           0.0187738
             3.87798             5.36843           0.0186211
             3.94262             5.36384           0.0177078
             4.00725             5.36616           0.0172347
             4.07188             5.35906           0.0164078
             4.13651             5.35985           0.0172044
             4.20115             5.35183           0.0170062
             4.26578             5.35434           0.0153422
             4.33041             5.35534           0.0157192
             4.39505             5.35635           0.0156578
             4.45968             5.34884           0.0153121
             4.52431              5.3446           0.0155513
             4.58895             5.34181           0.0156491
             4.65358             5.33372           0.0139164
             4.71821             5.33654           0.0139366
             4.78285             5.33532           0.0136856
             4.84748             5.33208            0.013925
             4.91211             5.32949           0.0135895
             4.97674             5.33205           0.0127963
             5.04138             5.32938           0.0131693
             5.10601             5.33573           0.0131507
             5.17064              5.3316           0.0124914
             5.23528             5.33276           0.0129654
             5.29991             5.33253           0.0131315
             5.36454             5.32932           0.0128651
             5.42918             5.32948            0.012739
             5.49381             5.33213           0.0133686
             5.55844             5.33342           0.0133815
             5.62307             5.33185           0.0119877
             5.68771             5.32878           0.0122887
             5.75234             5.33062           0.0112395
             5.81697             5.32766           0.0118395
             5.88161             5.32857           0.0113138
             5.94624             5.32157           0.0111314
             6.01087             5.31959           0.0112405
             6.07551             5.32316           0.0114615
             6.14014             5.32513            0.011596
             6.20477             5.32251            0.011563
              6.2694             5.32234           0.0112641
             6.33404             5.32379           0.0107196
             6.39867             5.33012           0.0103564
