#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.478637           -0.478637                   0
                   2           -0.386406           -0.432521           0.0326086
                   3           -0.393141           -0.419394           0.0242376
                   4           -0.448274           -0.426614           0.0192235
                   5           -0.423026           -0.425897           0.0153922
                   6           -0.398181           -0.421277           0.0135022
                   7           -0.404564            -0.41889           0.0117825
                   8           -0.412715           -0.418118           0.0103349
                   9           -0.398804           -0.415972          0.00940677
                  10           -0.372039           -0.411579           0.0094364
                  11           -0.391479           -0.409751          0.00875366
                  12           -0.394831           -0.408508          0.00811202
                  13           -0.407181           -0.408406          0.00748866
                  14           -0.423383           -0.409476          0.00702975
                  15           -0.448031           -0.412046          0.00701528
                  16           -0.400972           -0.411354          0.00661088
                  17            -0.39314           -0.410283          0.00630823
                  18           -0.357388           -0.407344          0.00660686
                  19           -0.410314             -0.4075          0.00626098
                  20           -0.382805           -0.406266          0.00606847
                  21           -0.483076           -0.409923          0.00679292
                  22           -0.430594           -0.410863          0.00654881
                  23           -0.384283           -0.409707          0.00636523
                  24           -0.421903           -0.410215          0.00612026
                  25           -0.409255           -0.410177          0.00587557
                  26            -0.40728           -0.410065          0.00565064
                  27           -0.408235           -0.409998          0.00544177
                  28            -0.41291           -0.410102          0.00524841
                  29           -0.426439           -0.410665          0.00509758
                  30           -0.405273           -0.410485          0.00493083
                  31           -0.411193           -0.410508          0.00477182
                  32           -0.407591           -0.410417          0.00462357
                  33           -0.396304           -0.409989           0.0045032
                  34           -0.442635           -0.410949          0.00447194
                  35           -0.404724           -0.410772          0.00434771
                  36            -0.43677           -0.411494           0.0042865
                  37           -0.440367           -0.412274          0.00424108
                  38            -0.39293           -0.411765          0.00415992
                  39            -0.44811           -0.412697          0.00415633
                  40           -0.417224            -0.41281          0.00405396
                  41           -0.378167           -0.411965          0.00404218
                  42            -0.42236           -0.412213           0.0039535
                  43           -0.402245           -0.411981          0.00386835
                  44           -0.431015           -0.412413          0.00380455
                  45           -0.409528           -0.412349          0.00372054
                  46           -0.456456           -0.413308          0.00376118
                  47           -0.489642           -0.414932          0.00401653
                  48           -0.421013           -0.415059          0.00393485
                  49           -0.392813           -0.414605          0.00388065
                  50            -0.37817           -0.413876          0.00387085
