#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1           0.0416918           0.0416918                   0
                   2           0.0424723           0.0420821         0.000275941
                   3           0.0433667           0.0425103         0.000395079
                   4            0.042035           0.0423915         0.000313673
                   5           0.0424275           0.0423987         0.000251021
                   6           0.0426458           0.0424399         0.000212537
                   7           0.0426296            0.042467         0.000183895
                   8           0.0427853           0.0425068         0.000165156
                   9           0.0432036           0.0425842         0.000163952
                  10           0.0431801           0.0426438         0.000158016
                  11           0.0436629           0.0427364         0.000168638
                  12           0.0427232           0.0427353         0.000154588
                  13           0.0435415           0.0427973         0.000154637
                  14           0.0431672           0.0428238         0.000145831
                  15           0.0418032           0.0427557         0.000151148
                  16           0.0421276           0.0427165         0.000146711
                  17           0.0435171           0.0427636         0.000145443
                  18           0.0425435           0.0427513         0.000137876
                  19           0.0431878           0.0427743         0.000132519
                  20           0.0431141           0.0427913         0.000126977
                  21           0.0415852           0.0427339         0.000133289
                  22           0.0417048           0.0426871         0.000135189
                  23           0.0426781           0.0426867         0.000129312
                  24           0.0427023           0.0426873         0.000123926
                  25           0.0422043            0.042668         0.000120466
                  26           0.0426322           0.0426666          0.00011584
                  27           0.0439254           0.0427133         0.000120567
                  28           0.0428829           0.0427193         0.000116413
                  29           0.0427445           0.0427202         0.000112402
                  30           0.0430898           0.0427325         0.000109328
                  31           0.0427936           0.0427345         0.000105819
                  32           0.0429233           0.0427404         0.000102677
                  33           0.0412566           0.0426954         0.000108966
                  34           0.0411402           0.0426497         0.000114962
                  35           0.0417246           0.0426232         0.000114675
                  36           0.0416808           0.0425971         0.000114439
                  37           0.0433984           0.0426187         0.000113377
                  38           0.0430725           0.0426307         0.000111021
                  39           0.0425142           0.0426277         0.000108214
                  40            0.042427           0.0426227         0.000105625
                  41             0.04321            0.042637         0.000104015
                  42           0.0426554           0.0426374          0.00010154
                  43           0.0439296           0.0426675          0.00010353
                  44            0.042824            0.042671         0.000101238
                  45           0.0428801           0.0426757         9.90948e-05
                  46           0.0407487           0.0426338         0.000105423
                  47           0.0417393           0.0426148         0.000104884
                  48           0.0426031           0.0426145         0.000102699
                  49           0.0435186            0.042633         0.000102247
                  50           0.0433247           0.0426468         0.000101134
