# DISTANCE:     AVE_GOFR:        ERROR:
           0.0256496                   0                   0
           0.0512993                   0                   0
           0.0769489                   0                   0
            0.102599                   0                   0
            0.128248                   0                   0
            0.153898                   0                   0
            0.179547                   0                   0
            0.205197                   0                   0
            0.230847                   0                   0
            0.256496                   0                   0
            0.282146                   0                   0
            0.307796                   0                   0
            0.333445                   0                   0
            0.359095                   0                   0
            0.384745                   0                   0
            0.410394                   0                   0
            0.436044                   0                   0
            0.461694                   0                   0
            0.487343                   0                   0
            0.512993                   0                   0
            0.538642                   0                   0
            0.564292                   0                   0
            0.589942                   0                   0
            0.615591                   0                   0
            0.641241                   0                   0
            0.666891                   0                   0
             0.69254                   0                   0
             0.71819                   0                   0
             0.74384                   0                   0
            0.769489                   0                   0
            0.795139                   0                   0
            0.820788                   0                   0
            0.846438          0.00100841          0.00038619
            0.872088            0.105618          0.00408434
            0.897737             2.11125           0.0213858
            0.923387             14.1759           0.0664196
            0.949037             48.7312            0.134056
            0.974686              103.58            0.189901
             1.00034             160.902            0.270126
             1.02599             201.932            0.214389
             1.05164             220.523            0.194705
             1.07728             220.297            0.192578
             1.10293             208.074            0.185238
             1.12858             190.261            0.156585
             1.15423             170.268            0.202534
             1.17988              151.69            0.197096
             1.20553             134.683            0.202629
             1.23118             119.928            0.161301
             1.25683              107.66            0.156445
             1.28248             97.3065            0.128715
             1.30813             88.4086            0.115153
             1.33378              81.295            0.123328
             1.35943             75.4361            0.107309
             1.38508             70.7069           0.0975151
             1.41073             66.8841           0.0941213
             1.43638             63.7719           0.0878991
             1.46203             61.4825            0.101503
             1.48768             59.7399           0.0927585
             1.51333             58.6252           0.0858117
             1.53898              58.013           0.0889139
             1.56463             57.9151           0.0891618
             1.59028             58.3189            0.108831
             1.61593             59.1775           0.0816921
             1.64158             60.5879           0.0895656
             1.66723             62.4622            0.091476
             1.69288             64.6871           0.0821927
             1.71853             67.3607           0.0771895
             1.74418             70.3991           0.0911548
             1.76983             73.6781           0.0763677
             1.79547             77.1745           0.0820141
             1.82112             80.8434           0.0818254
             1.84677             84.4653            0.084679
             1.87242              88.123           0.0924592
             1.89807             91.4275           0.0760562
             1.92372             94.7137           0.0890784
             1.94937              97.541            0.091659
             1.97502             100.398           0.0813492
             2.00067             102.447            0.101573
             2.02632             103.964           0.0832852
             2.05197             104.912           0.0894228
             2.07762             105.018           0.0798812
             2.10327             104.501            0.076078
             2.12892             103.238           0.0807056
             2.15457             101.528           0.0752645
             2.18022             99.5624           0.0868856
             2.20587             97.1767           0.0803606
             2.23152             94.7383           0.0853709
             2.25717             92.1479           0.0943721
             2.28282             89.8097           0.0822277
             2.30847             87.5381           0.0743185
             2.33412             85.4251           0.0790811
             2.35977             83.4558           0.0674146
             2.38542             81.8177           0.0705918
             2.41107             80.3867            0.068983
             2.43672             79.2453           0.0675622
             2.46237             78.4245           0.0754449
             2.48802             77.2464           0.0709808
             2.51366             76.4651           0.0759787
             2.53931             76.4148           0.0756254
