#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.46367            -5.46367                   0
                   2            -5.46262            -5.46314         0.000372867
                   3            -5.46133            -5.46254         0.000551587
                   4            -5.46357             -5.4628         0.000469537
                   5            -5.46631             -5.4635         0.000732224
                   6            -5.46085            -5.46306          0.00073167
                   7            -5.46462            -5.46328         0.000660402
                   8            -5.46617            -5.46364         0.000669398
                   9            -5.46215            -5.46348         0.000615156
                  10            -5.49366             -5.4665          0.00291638
                  11            -5.46964            -5.46678          0.00266525
                  12            -5.48061            -5.46793          0.00268076
                  13            -5.47262            -5.46829          0.00249862
                  14            -5.47538             -5.4688          0.00237093
                  15            -5.46437             -5.4685          0.00223123
                  16            -5.47693            -5.46903          0.00215298
                  17             -5.4628            -5.46866          0.00205732
                  18            -5.46177            -5.46828           0.0019784
                  19            -5.47908            -5.46885          0.00195422
                  20            -5.47613            -5.46921          0.00189007
                  21            -5.48502            -5.46997          0.00194417
                  22            -5.45017            -5.46907          0.00205357
                  23            -5.45621            -5.46851          0.00203894
                  24            -5.49043            -5.46942          0.00214881
                  25            -5.46805            -5.46937          0.00206355
                  26            -5.46465            -5.46918          0.00199215
                  27            -5.47089            -5.46925          0.00191937
                  28             -5.4613            -5.46896          0.00187171
                  29            -5.46977            -5.46899          0.00180737
                  30            -5.47004            -5.46903          0.00174747
                  31            -5.46504             -5.4689          0.00169581
                  32            -5.47514            -5.46909            0.001654
                  33            -5.46578            -5.46899          0.00160692
                  34             -5.4686            -5.46898           0.0015597
                  35            -5.44105            -5.46818          0.00170709
                  36            -5.46707            -5.46815          0.00165995
                  37            -5.45333            -5.46775          0.00166275
                  38            -5.46289            -5.46762           0.0016239
                  39            -5.47324            -5.46777          0.00158863
                  40            -5.44679            -5.46724          0.00163316
                  41            -5.48005            -5.46756          0.00162291
                  42            -5.44882            -5.46711          0.00164442
                  43            -5.46878            -5.46715          0.00160663
                  44            -5.45848            -5.46695          0.00158215
                  45            -5.44456            -5.46645          0.00162333
                  46            -5.46452            -5.46641          0.00158858
                  47             -5.4375             -5.4658          0.00166962
                  48            -5.46099             -5.4657          0.00163784
                  49             -5.4462             -5.4653          0.00165203
                  50              -5.467            -5.46533          0.00161933
