#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1             1.24681             1.24681                   0
                   2             1.22887             1.23784          0.00634456
                   3             1.26262              1.2461          0.00796111
                   4             1.22465             1.24074           0.0075639
                   5             1.21682             1.23595          0.00741126
                   6             1.25332             1.23885           0.0067173
                   7             1.19527             1.23262          0.00814661
                   8               1.204             1.22904          0.00787461
                   9             1.23041              1.2292          0.00700111
                  10             1.07878             1.21415           0.0155991
                  11             1.20784             1.21358           0.0141915
                  12             1.14535             1.20789           0.0141019
                  13             1.17011             1.20499           0.0133133
                  14             1.16249             1.20195           0.0127038
                  15             1.24432             1.20478           0.0121669
                  16             1.16409             1.20223           0.0116691
                  17              1.2268             1.20368           0.0110718
                  18             1.20786             1.20391           0.0104592
                  19             1.14964             1.20106           0.0102913
                  20              1.1422             1.19811           0.0101888
                  21             1.12632             1.19469           0.0102611
                  22             1.27216             1.19822           0.0103813
                  23             1.28617             1.20204            0.010611
                  24             1.10135             1.19784           0.0109669
                  25             1.18828             1.19746           0.0105349
                  26             1.24165             1.19916           0.0102659
                  27             1.20223             1.19927          0.00988635
                  28             1.23262             1.20047          0.00960474
                  29             1.20909             1.20076          0.00927814
                  30             1.19184             1.20047          0.00897364
                  31             1.25144             1.20211          0.00883352
                  32             1.17642             1.20131          0.00859387
                  33             1.20236             1.20134           0.0083335
                  34             1.20726             1.20151          0.00809022
                  35             1.35846               1.206          0.00901654
                  36             1.22635             1.20656          0.00878379
                  37             1.25463             1.20786          0.00864192
                  38             1.24634             1.20887          0.00847361
                  39             1.18715             1.20832          0.00827463
                  40             1.27616             1.21001          0.00823976
                  41             1.13534             1.20819          0.00823762
                  42             1.32218             1.21091          0.00847678
                  43              1.2165             1.21104          0.00828064
                  44             1.26098             1.21217          0.00816986
                  45             1.31499             1.21446          0.00830168
                  46             1.27828             1.21584          0.00823632
                  47             1.34068              1.2185          0.00847851
                  48             1.23307              1.2188          0.00830731
                  49             1.31958             1.22086          0.00838852
                  50             1.17335             1.21991          0.00827438
