# DISTANCE:     AVE_GOFR:        ERROR:
           0.0230664                   0                   0
           0.0461329                   0                   0
           0.0691993                   0                   0
           0.0922657                   0                   0
            0.115332                   0                   0
            0.138399                   0                   0
            0.161465                   0                   0
            0.184531                   0                   0
            0.207598                   0                   0
            0.230664                   0                   0
            0.253731                   0                   0
            0.276797                   0                   0
            0.299864                   0                   0
             0.32293                   0                   0
            0.345996                   0                   0
            0.369063                   0                   0
            0.392129                   0                   0
            0.415196                   0                   0
            0.438262                   0                   0
            0.461329                   0                   0
            0.484395                   0                   0
            0.507461                   0                   0
            0.530528                   0                   0
            0.553594                   0                   0
            0.576661                   0                   0
            0.599727                   0                   0
            0.622794                   0                   0
             0.64586                   0                   0
            0.668926                   0                   0
            0.691993                   0                   0
            0.715059                   0                   0
            0.738126                   0                   0
            0.761192                   0                   0
            0.784259                   0                   0
            0.807325                   0                   0
            0.830391                   0                   0
            0.853458                   0                   0
            0.876524          0.00953586          0.00175271
            0.899591            0.379488          0.00919084
            0.922657             5.48846           0.0496378
            0.945724             34.8175            0.144443
             0.96879             119.512             0.28187
            0.991856             266.354             0.32107
             1.01492             430.703             0.31193
             1.03799             548.282            0.384818
             1.06106             582.328            0.517419
             1.08412             533.767            0.457124
             1.10719             434.559             0.40642
             1.13026             320.042            0.255815
             1.15332             215.653            0.222101
             1.17639             134.149            0.190284
             1.19945              77.622            0.156911
             1.22252             41.9475            0.157122
             1.24559             21.4044           0.0855025
             1.26865             10.5953           0.0682398
             1.29172             5.89731           0.0507075
             1.31479             5.05347           0.0438169
             1.33785             7.28754           0.0538175
             1.36092             12.6618           0.0684202
             1.38399             21.8716           0.0749718
             1.40705              35.743           0.0882147
             1.43012             53.8628           0.0891624
             1.45319             74.6328            0.100981
             1.47625             94.5644            0.134195
             1.49932             109.488             0.15896
             1.52238             115.128            0.150849
             1.54545             110.328            0.190047
             1.56852             95.9294            0.117431
             1.59158             76.0586             0.08151
             1.61465             55.5212           0.0737196
             1.63772             37.7266           0.0913239
             1.66078             26.0551           0.0884139
             1.68385             22.8638            0.118507
             1.70692             30.3439            0.130851
             1.72998             51.5412            0.153573
             1.75305             89.1038            0.142524
             1.77612             142.439            0.148236
             1.79918             205.197            0.135629
             1.82225             265.494            0.164832
             1.84531             308.403            0.272382
             1.86838             322.303            0.298025
             1.89145              303.78            0.269012
             1.91451             258.898            0.189927
             1.93758             200.772           0.0932797
             1.96065             142.775            0.113082
             1.98371             95.3123            0.145199
             2.00678             64.4938            0.157283
             2.02985              51.567            0.144811
             2.05291             54.9455            0.135413
             2.07598             69.7483            0.108535
             2.09905             90.0873           0.0786964
             2.12211             109.129            0.093656
             2.14518             120.469            0.130719
             2.16824             121.247            0.153982
             2.19131             109.111            0.115668
             2.21438             92.6749           0.0800501
             2.23744             77.6788           0.0953509
             2.26051             68.1444            0.127728
             2.28358              68.233            0.171816
