#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.54706            -7.54706                   0
                   2            -7.53526            -7.54116          0.00417284
                   3              -7.545            -7.54244          0.00297177
                   4            -7.56259            -7.54748          0.00489764
                   5            -7.54693            -7.54737          0.00391932
                   6            -7.54288            -7.54662           0.0033367
                   7            -7.54496            -7.54638          0.00286848
                   8            -7.55642            -7.54764          0.00277075
                   9             -7.5374             -7.5465          0.00268621
                  10            -7.56518            -7.54837          0.00299747
                  11            -7.53676            -7.54731          0.00290482
                  12            -7.56275             -7.5486          0.00293392
                  13            -7.53955             -7.5479          0.00278958
                  14            -7.54773            -7.54789          0.00259036
                  15            -7.54378            -7.54762          0.00243213
                  16            -7.54242            -7.54729          0.00230173
                  17            -7.56463            -7.54831           0.0023817
                  18            -7.56665            -7.54933          0.00245768
                  19            -7.54049            -7.54887          0.00237197
                  20            -7.53669            -7.54826          0.00233014
                  21            -7.54677            -7.54819          0.00222025
                  22            -7.54177             -7.5479          0.00213843
                  23            -7.53057            -7.54714          0.00217408
                  24            -7.57306            -7.54822          0.00233644
                  25            -7.54574            -7.54812          0.00224509
                  26            -7.55126            -7.54824          0.00216199
                  27            -7.54091            -7.54797          0.00209891
                  28            -7.53556            -7.54753          0.00207024
                  29            -7.53312            -7.54703          0.00205758
                  30            -7.54907             -7.5471          0.00199012
                  31            -7.54218            -7.54694          0.00193224
                  32            -7.55489            -7.54719          0.00188777
                  33            -7.55425             -7.5474          0.00184266
                  34            -7.54508            -7.54734          0.00178973
                  35            -7.55211            -7.54747          0.00174379
                  36            -7.55108            -7.54757          0.00169823
                  37            -7.54823            -7.54759          0.00165242
                  38            -7.53434            -7.54724          0.00164534
                  39            -7.54903            -7.54729          0.00160379
                  40            -7.54999            -7.54735          0.00156513
                  41              -7.538            -7.54713          0.00154349
                  42            -7.55356            -7.54728          0.00151432
                  43            -7.54942            -7.54733          0.00147993
                  44            -7.54829            -7.54735          0.00144645
                  45             -7.5437            -7.54727          0.00141659
                  46            -7.55227            -7.54738          0.00138995
                  47            -7.54253            -7.54728           0.0013642
                  48            -7.53306            -7.54698          0.00136757
                  49            -7.54583            -7.54696          0.00133986
                  50            -7.56155            -7.54725          0.00134447
