#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1             7.76238             7.76238                   0
                   2             7.83015             7.79627           0.0239591
                   3             7.77285             7.78846           0.0171979
                   4             7.67264             7.75951           0.0281988
                   5             7.76169             7.75994           0.0225624
                   6             7.78644             7.76436           0.0192295
                   7             7.77245             7.76552           0.0165172
                   8             7.71418              7.7591           0.0156493
                   9             7.81752             7.76559           0.0151972
                  10             7.66851             7.75588           0.0164894
                  11             7.82153             7.76185           0.0160341
                  12              7.6754             7.75465           0.0162359
                  13             7.80282             7.75835           0.0154041
                  14             7.75761              7.7583           0.0143039
                  15             7.78014             7.75975           0.0134242
                  16             7.79012             7.76165           0.0127186
                  17              7.6687             7.75618           0.0130931
                  18             7.65311             7.75046           0.0135602
                  19             7.80006             7.75307           0.0130954
                  20             7.82199             7.75651            0.012886
                  21              7.7624             7.75679           0.0122755
                  22             7.79299             7.75844           0.0118272
                  23             7.85107             7.76247           0.0119792
                  24             7.62018             7.75654           0.0128638
                  25             7.76781             7.75699           0.0123571
                  26             7.73812             7.75626           0.0119031
                  27             7.79599             7.75774           0.0115529
                  28             7.82795             7.76024           0.0114092
                  29             7.83768             7.76291           0.0113239
                  30             7.75197             7.76255           0.0109523
                  31             7.79029             7.76344           0.0106355
                  32             7.72291             7.76218           0.0103783
                  33             7.72081             7.76092           0.0101392
                  34             7.77472             7.76133          0.00984912
                  35             7.73447             7.76056          0.00959757
                  36             7.74349             7.76009          0.00934268
                  37             7.75677                7.76           0.0090906
                  38             7.83388             7.76194          0.00905688
                  39             7.75157             7.76168          0.00882856
                  40             7.74719             7.76131          0.00861527
                  41             7.80896             7.76248          0.00848317
                  42             7.72605             7.76161          0.00832541
                  43             7.75072             7.76135          0.00813564
                  44             7.75547             7.76122          0.00795184
                  45             7.77994             7.76164          0.00778601
                  46             7.73107             7.76097          0.00764505
                  47             7.78782             7.76154          0.00750371
                  48              7.8387             7.76315          0.00751757
                  49             7.77036              7.7633          0.00736559
                  50             7.68463             7.76173          0.00738441
