# DISTANCE:     AVE_GOFR:        ERROR:
            0.064633                   0                   0
            0.129266                   0                   0
            0.193899                   0                   0
            0.258532                   0                   0
            0.323165                   0                   0
            0.387798                   0                   0
            0.452431                   0                   0
            0.517064                   0                   0
            0.581697                   0                   0
             0.64633                   0                   0
            0.710963                   0                   0
            0.775596                   0                   0
             0.84023          0.00397645          0.00194038
            0.904863            0.812954            0.039626
            0.969496             5.96489            0.131906
             1.03413             11.1924            0.188396
             1.09876             12.2491            0.222424
             1.16339             11.4666            0.181867
             1.22803             10.0644            0.162504
             1.29266             8.85259            0.166153
             1.35729             7.91917            0.131241
             1.42193             7.48565            0.132568
             1.48656             6.77415            0.127641
             1.55119             6.44451             0.13605
             1.61583             6.20202            0.110079
             1.68046             6.06091            0.115435
             1.74509             6.10361             0.11212
             1.80973             5.90838            0.104322
             1.87436              5.8489            0.104277
             1.93899             5.91524           0.0869427
             2.00362             5.80271           0.0983459
             2.06826             5.71482           0.0879478
             2.13289             5.70131           0.0708074
             2.19752             5.79131           0.0864183
             2.26216             5.73401           0.0834453
             2.32679             5.69794           0.0835954
             2.39142              5.6481           0.0737418
             2.45606             5.61967           0.0676672
             2.52069             5.53726           0.0664803
             2.58532             5.55822           0.0689084
             2.64995             5.55203           0.0804025
             2.71459              5.5253           0.0686001
             2.77922              5.4673           0.0631724
             2.84385             5.48139           0.0627544
             2.90849              5.4934           0.0592485
             2.97312             5.43736           0.0722111
             3.03775             5.40854           0.0661132
             3.10239             5.42816           0.0602373
             3.16702             5.47661           0.0606327
             3.23165             5.38958           0.0579289
             3.29629             5.37824           0.0581634
             3.36092             5.41816           0.0659583
             3.42555             5.36427           0.0602843
             3.49018             5.39577           0.0613185
             3.55482             5.41965           0.0553735
             3.61945             5.45708           0.0563766
             3.68408             5.38341           0.0515152
             3.74872             5.37573           0.0500685
             3.81335             5.37224           0.0515039
             3.87798             5.37503           0.0460685
             3.94262             5.38323            0.046793
             4.00725             5.37984           0.0519968
             4.07188             5.35993           0.0463582
             4.13651             5.45127           0.0406262
             4.20115             5.43394           0.0395964
             4.26578             5.39802           0.0354992
             4.33041             5.39022           0.0439942
             4.39505             5.33159           0.0418247
             4.45968             5.30209           0.0368052
             4.52431             5.35989           0.0340419
             4.58895              5.3054           0.0328945
             4.65358             5.32883           0.0315213
             4.71821             5.35435           0.0275841
             4.78285             5.37421           0.0357301
             4.84748              5.3982           0.0329668
             4.91211             5.39905           0.0355751
             4.97674             5.40351           0.0346758
             5.04138               5.411           0.0356472
             5.10601             5.38008           0.0380682
             5.17064             5.39346           0.0353941
             5.23528             5.36991           0.0329176
             5.29991             5.38788           0.0373894
             5.36454             5.35226            0.036155
             5.42918             5.32495           0.0343713
             5.49381             5.34517           0.0337735
             5.55844             5.36393           0.0304299
             5.62307             5.33761           0.0301928
             5.68771              5.3485           0.0299761
             5.75234             5.31595           0.0282168
             5.81697             5.31681           0.0310495
             5.88161             5.30602           0.0284563
             5.94624             5.30906           0.0287095
             6.01087             5.28865           0.0277762
             6.07551             5.28423           0.0275615
             6.14014             5.28006           0.0301762
             6.20477             5.29538           0.0294494
              6.2694             5.29508           0.0286538
             6.33404             5.31348           0.0299709
             6.39867             5.28929           0.0244176
