# DISTANCE:     AVE_GOFR:        ERROR:
           0.0256496                   0                   0
           0.0512993                   0                   0
           0.0769489                   0                   0
            0.102599                   0                   0
            0.128248                   0                   0
            0.153898                   0                   0
            0.179547                   0                   0
            0.205197                   0                   0
            0.230847                   0                   0
            0.256496                   0                   0
            0.282146                   0                   0
            0.307796                   0                   0
            0.333445                   0                   0
            0.359095                   0                   0
            0.384745                   0                   0
            0.410394                   0                   0
            0.436044                   0                   0
            0.461694                   0                   0
            0.487343                   0                   0
            0.512993                   0                   0
            0.538642                   0                   0
            0.564292                   0                   0
            0.589942                   0                   0
            0.615591                   0                   0
            0.641241                   0                   0
            0.666891                   0                   0
             0.69254                   0                   0
             0.71819                   0                   0
             0.74384                   0                   0
            0.769489                   0                   0
            0.795139                   0                   0
            0.820788                   0                   0
            0.846438          0.00168068          0.00166379
            0.872088             0.11156           0.0154415
            0.897737             2.20569           0.0882993
            0.923387              14.937            0.176159
            0.949037             50.2064             0.36243
            0.974686             105.626             0.67968
             1.00034              161.14            0.815975
             1.02599             201.427            0.807135
             1.05164             219.468             0.81705
             1.07728             220.062            0.969279
             1.10293             207.098            0.794286
             1.12858             190.144            0.729774
             1.15423             170.133            0.689223
             1.17988             151.726            0.733627
             1.20553             134.426            0.604288
             1.23118             120.391            0.643542
             1.25683             108.213            0.596555
             1.28248             97.6547            0.532806
             1.30813             88.7328             0.51177
             1.33378             81.0941            0.541652
             1.35943             75.8264            0.502806
             1.38508             70.0189            0.391755
             1.41073             66.0069             0.37784
             1.43638             63.0295              0.3659
             1.46203             61.0154            0.387153
             1.48768             59.2322            0.408983
             1.51333             58.1405            0.387714
             1.53898             57.8224            0.361412
             1.56463              57.398            0.340093
             1.59028             57.6246            0.328661
             1.61593             59.1155            0.304765
             1.64158               60.55            0.310603
             1.66723             62.3921            0.321615
             1.69288             64.4052            0.301768
             1.71853             67.3474            0.349014
             1.74418             70.2856            0.372817
             1.76983             74.0119              0.3407
             1.79547              77.959            0.373413
             1.82112             81.2648            0.347155
             1.84677             84.9184            0.358956
             1.87242             88.8245            0.434608
             1.89807             92.0407            0.360618
             1.92372             95.4499            0.367359
             1.94937             98.5689            0.361148
             1.97502             101.169            0.318776
             2.00067             102.758            0.308094
             2.02632             103.458             0.34216
             2.05197             104.674            0.354084
             2.07762             104.929            0.354361
             2.10327             104.823            0.438927
             2.12892             103.499            0.379309
             2.15457              101.86            0.348209
             2.18022              99.795            0.399608
             2.20587             97.3486            0.341712
             2.23152             94.4623            0.343096
             2.25717             92.0064             0.40464
             2.28282             89.2972            0.291992
             2.30847             86.6647            0.312673
             2.33412             84.5234            0.300277
             2.35977             82.2806            0.298274
             2.38542             80.5309            0.331977
             2.41107             79.4772            0.296715
             2.43672             78.4651            0.250721
             2.46237             77.7996            0.250156
             2.48802              77.327            0.247012
             2.51366             76.6991            0.283198
             2.53931             76.8589            0.287569
