#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -5.44148            -5.44148                   0
                   2            -5.42569            -5.43359          0.00558223
                   3            -5.44817            -5.43845          0.00544054
                   4            -5.43625             -5.4379          0.00410792
                   5            -5.43421            -5.43716          0.00335193
                   6             -5.3967            -5.43042          0.00675948
                   7            -5.45506            -5.43394          0.00664782
                   8            -5.47951            -5.43964          0.00788892
                   9             -5.4507            -5.44086          0.00710755
                  10            -5.41591            -5.43837          0.00682068
                  11            -5.45055            -5.43948          0.00628986
                  12             -5.4347            -5.43908          0.00577828
                  13            -5.43637            -5.43887          0.00533754
                  14            -5.47277            -5.44129          0.00547797
                  15            -5.46639            -5.44297          0.00536212
                  16            -5.46086            -5.44408          0.00514225
                  17            -5.46073            -5.44506          0.00493212
                  18            -5.44822            -5.44524          0.00466124
                  19            -5.44598            -5.44528          0.00441608
                  20            -5.45568             -5.4458          0.00422577
                  21            -5.47346            -5.44711           0.0042249
                  22            -5.43667            -5.44664          0.00405943
                  23            -5.45224            -5.44688          0.00389024
                  24            -5.47198            -5.44793          0.00386612
                  25            -5.46764            -5.44872          0.00379097
                  26            -5.44365            -5.44852          0.00365016
                  27            -5.46982            -5.44931          0.00359918
                  28            -5.44714            -5.44923          0.00347147
                  29            -5.41847            -5.44817          0.00351014
                  30            -5.43175            -5.44763          0.00343555
                  31            -5.48386            -5.44879          0.00351799
                  32            -5.48334            -5.44987          0.00356982
                  33            -5.45401               -5.45          0.00346384
                  34            -5.44052            -5.44972          0.00337316
                  35             -5.4891            -5.45085          0.00345931
                  36            -5.43016            -5.45027           0.0034106
                  37            -5.45518             -5.4504          0.00332101
                  38            -5.45047            -5.45041          0.00323361
                  39            -5.43487            -5.45001          0.00317515
                  40             -5.4498               -5.45          0.00309577
                  41            -5.44846            -5.44996          0.00302049
                  42            -5.46911            -5.45042          0.00298278
                  43            -5.46546            -5.45077          0.00293386
                  44            -5.45898            -5.45096           0.0028731
                  45            -5.46109            -5.45118          0.00281807
                  46            -5.44984            -5.45115          0.00275696
                  47            -5.43677            -5.45085          0.00271524
                  48            -5.43345            -5.45048          0.00268275
                  49            -5.46912            -5.45086          0.00265481
                  50            -5.47019            -5.45125           0.0026297
