#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1             1.43567             1.43567                   0
                   2             1.27961             1.35764           0.0551741
                   3             1.36351              1.3596           0.0368174
                   4             1.44829             1.38177           0.0336344
                   5             1.29354             1.36412           0.0311951
                   6             1.51415             1.38913           0.0345953
                   7             1.21899             1.36482           0.0372249
                   8             1.08942              1.3304           0.0458031
                   9             1.28222             1.32504           0.0410254
                  10             1.45199             1.33774           0.0388372
                  11             1.23618             1.32851           0.0363874
                  12             1.36143             1.33125           0.0334584
                  13             1.28449             1.32765           0.0310774
                  14             1.12207             1.31297           0.0321402
                  15             1.18214             1.30425           0.0311586
                  16             1.27069             1.30215           0.0292816
                  17             1.18978             1.29554           0.0282954
                  18             1.34693             1.29839           0.0268671
                  19             1.36758             1.30204           0.0256986
                  20             1.18617             1.29624           0.0250582
                  21             1.02985             1.28356           0.0268847
                  22             1.37469              1.2877           0.0259799
                  23             1.37275              1.2914           0.0251121
                  24             1.25602             1.28992            0.024109
                  25             1.33929              1.2919           0.0232253
                  26             1.35677             1.29439           0.0224657
                  27             1.35635             1.29669           0.0217505
                  28             1.31251             1.29725            0.020981
                  29              1.4525             1.30261           0.0209294
                  30             1.35813             1.30446           0.0203134
                  31             1.28325             1.30377           0.0196696
                  32              1.2686             1.30267           0.0190856
                  33             1.27827             1.30193           0.0185216
                  34             1.35337             1.30345           0.0180385
                  35             1.26228             1.30227           0.0175615
                  36             1.40047               1.305           0.0172842
                  37              1.2224             1.30277           0.0169606
                  38             1.27657             1.30208           0.0165283
                  39             1.40754             1.30478           0.0163242
                  40             1.25684             1.30358             0.01596
                  41             1.32747             1.30417           0.0155814
                  42             1.24111             1.30266           0.0152826
                  43             1.21543             1.30064           0.0150612
                  44             1.30449             1.30072           0.0147191
                  45              1.2547              1.2997           0.0144275
                  46             1.26985             1.29905           0.0141285
                  47             1.30239             1.29912           0.0138281
                  48             1.42003             1.30164           0.0137675
                  49             1.20611             1.29969           0.0136239
                  50             1.17182             1.29713           0.0135893
