# DISTANCE:     AVE_GOFR:        ERROR:
           0.0230664                   0                   0
           0.0461329                   0                   0
           0.0691993                   0                   0
           0.0922657                   0                   0
            0.115332                   0                   0
            0.138399                   0                   0
            0.161465                   0                   0
            0.184531                   0                   0
            0.207598                   0                   0
            0.230664                   0                   0
            0.253731                   0                   0
            0.276797                   0                   0
            0.299864                   0                   0
             0.32293                   0                   0
            0.345996                   0                   0
            0.369063                   0                   0
            0.392129                   0                   0
            0.415196                   0                   0
            0.438262                   0                   0
            0.461329                   0                   0
            0.484395                   0                   0
            0.507461                   0                   0
            0.530528                   0                   0
            0.553594                   0                   0
            0.576661                   0                   0
            0.599727                   0                   0
            0.622794                   0                   0
             0.64586                   0                   0
            0.668926                   0                   0
            0.691993                   0                   0
            0.715059                   0                   0
            0.738126                   0                   0
            0.761192                   0                   0
            0.784259                   0                   0
            0.807325                   0                   0
            0.830391                   0                   0
            0.853458                   0                   0
            0.876524           0.0163597          0.00499018
            0.899591            0.421459           0.0329116
            0.922657             6.06677            0.104585
            0.945724             37.9296            0.213894
             0.96879             125.884            0.500658
            0.991856             273.734            0.746406
             1.01492             433.064            0.982179
             1.03799             544.219            0.941492
             1.06106             573.746             1.13559
             1.08412             522.359            0.912061
             1.10719             427.608            0.805696
             1.13026             317.014            0.935225
             1.15332             217.541            0.708317
             1.17639             137.168            0.639297
             1.19945              80.832            0.424929
             1.22252             44.6476            0.355227
             1.24559             23.1225            0.245554
             1.26865             11.6954            0.181397
             1.29172             6.52156            0.145195
             1.31479             5.58136            0.156686
             1.33785              7.3775            0.152295
             1.36092             12.9319            0.225154
             1.38399             22.9277            0.297218
             1.40705             36.1392            0.279481
             1.43012               54.72            0.319282
             1.45319             74.5011             0.31012
             1.47625             93.7692            0.384804
             1.49932             107.713            0.489986
             1.52238             114.016            0.561669
             1.54545             109.162            0.549081
             1.56852             95.6987            0.475103
             1.59158             75.6842            0.347282
             1.61465             55.6041            0.275933
             1.63772             38.3151            0.257247
             1.66078             27.3859             0.31437
             1.68385             24.5932            0.277529
             1.70692             32.6114            0.359897
             1.72998             54.2287            0.343057
             1.75305             91.8496            0.496043
             1.77612             144.181            0.468979
             1.79918             206.135            0.425038
             1.82225             263.587            0.626403
             1.84531             303.663            0.851479
             1.86838             316.872            0.840931
             1.89145             298.748            0.658594
             1.91451              255.78             0.61293
             1.93758             199.604            0.516503
             1.96065             144.205            0.335824
             1.98371             97.5808             0.37604
             2.00678             67.6352            0.411124
             2.02985             54.9851            0.426825
             2.05291             57.8619            0.330201
             2.07598             71.5494             0.29772
             2.09905             90.1937            0.227814
             2.12211             107.421            0.293607
             2.14518             117.335            0.319242
             2.16824             117.449            0.368024
             2.19131             107.835             0.35995
             2.21438             93.3483            0.242266
             2.23744             79.0032            0.290627
             2.26051             70.2026            0.430475
             2.28358             70.3174            0.452182
