#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1            -7.50746            -7.50746                   0
                   2            -7.51699            -7.51223          0.00337034
                   3            -7.50875            -7.51107          0.00243837
                   4            -7.50933            -7.51063          0.00186681
                   5            -7.50773            -7.51005          0.00158133
                   6            -7.50576            -7.50934          0.00147075
                   7            -7.50098            -7.50814          0.00167627
                   8            -7.51755            -7.50932          0.00183301
                   9            -7.51046            -7.50945          0.00163376
                  10            -7.51359            -7.50986          0.00152215
                  11            -7.50963            -7.50984          0.00138391
                  12            -7.51373            -7.51016          0.00130593
                  13            -7.50699            -7.50992           0.0012281
                  14            -7.50778            -7.50977          0.00114989
                  15            -7.50977            -7.50977          0.00107323
                  16            -7.50992            -7.50978          0.00100619
                  17            -7.51174            -7.50989         0.000953594
                  18            -7.50949            -7.50987          0.00090088
                  19            -7.50501            -7.50961         0.000889067
                  20            -7.51329             -7.5098         0.000863428
                  21            -7.51168            -7.50989         0.000826935
                  22            -7.50968            -7.50988         0.000789403
                  23            -7.51003            -7.50988          0.00075511
                  24            -7.51173            -7.50996         0.000727542
                  25            -7.50325            -7.50969         0.000746374
                  26            -7.50881            -7.50966         0.000718436
                  27            -7.51101            -7.50971         0.000693562
                  28            -7.50887            -7.50968         0.000669431
                  29             -7.5096            -7.50968         0.000646353
                  30            -7.51297            -7.50979          0.00063405
                  31            -7.51395            -7.50992         0.000627643
                  32            -7.50717            -7.50983         0.000613878
                  33            -7.51148            -7.50988         0.000597304
                  34             -7.5065            -7.50978         0.000587984
                  35            -7.50139            -7.50954         0.000618214
                  36            -7.51385            -7.50966          0.00061248
                  37            -7.50745             -7.5096         0.000598832
                  38            -7.51291            -7.50969         0.000589371
                  39            -7.50651            -7.50961         0.000579863
                  40            -7.51618            -7.50977         0.000588145
                  41            -7.50547            -7.50967         0.000583104
                  42            -7.51257            -7.50974         0.000573296
                  43            -7.51342            -7.50982         0.000566322
                  44            -7.50651            -7.50975         0.000558431
                  45            -7.51023            -7.50976         0.000546126
                  46            -7.51295            -7.50983         0.000538643
                  47            -7.51015            -7.50983         0.000527225
                  48            -7.51182            -7.50988         0.000517856
                  49            -7.51334            -7.50995         0.000512076
                  50            -7.50872            -7.50992          0.00050242
