#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1             7.98929             7.98929                   0
                   2             7.93223             7.96076           0.0201733
                   3             7.97554             7.96569            0.014037
                   4             7.97497             7.96801           0.0107179
                   5              7.9743             7.96927           0.0086479
                   6             7.98091             7.97121          0.00742106
                   7             8.00911             7.97662          0.00809891
                   8             7.94136             7.97221           0.0081989
                   9             7.97759             7.97281          0.00730964
                  10             7.95543             7.97107          0.00678221
                  11             7.99109             7.97289          0.00640527
                  12             7.96396             7.97215          0.00591457
                  13             8.00549             7.97471          0.00598984
                  14             7.98798             7.97566          0.00563648
                  15             7.96099             7.97468          0.00534494
                  16             7.97588             7.97476          0.00501141
                  17              7.9756             7.97481          0.00471687
                  18             7.95927             7.97394          0.00453308
                  19             7.98832              7.9747          0.00435717
                  20             7.96595             7.97426          0.00416123
                  21             7.98582             7.97481          0.00399933
                  22             7.97697             7.97491          0.00381875
                  23             7.96824             7.97462          0.00366373
                  24             7.95349             7.97374          0.00361531
                  25             7.99814             7.97472          0.00360001
                  26             7.98927             7.97528           0.0035048
                  27             7.99601             7.97604          0.00345808
                  28              7.9628             7.97557          0.00336675
                  29             7.97941              7.9757          0.00325325
                  30             7.96276             7.97527           0.0031733
                  31             7.95456              7.9746          0.00314049
                  32             7.99847             7.97535          0.00312968
                  33             7.97978             7.97548          0.00303772
                  34             7.99689             7.97611          0.00301292
                  35             8.01102             7.97711          0.00308747
                  36             7.96144             7.97668          0.00303225
                  37             8.01433             7.97769          0.00311637
                  38             7.96074             7.97725          0.00306613
                  39             7.99044             7.97759          0.00300611
                  40              7.9638             7.97724          0.00295065
                  41             8.00975             7.97803          0.00298334
                  42             7.97536             7.97797          0.00291299
                  43             7.95354              7.9774          0.00290013
                  44             7.97491             7.97735          0.00283477
                  45             7.95657             7.97688          0.00280912
                  46             7.97124             7.97676          0.00275072
                  47             7.99235             7.97709          0.00271211
                  48             7.95649             7.97666          0.00268935
                  49             7.98731             7.97688          0.00264322
                  50             7.99855             7.97731          0.00262565
