#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
                   1           -0.398178           -0.398178                   0
                   2           -0.427854           -0.413016           0.0104921
                   3           -0.413565           -0.413199          0.00699634
                   4            -0.38282           -0.405604          0.00841392
                   5           -0.417409           -0.407965          0.00705457
                   6           -0.425005           -0.410805          0.00642504
                   7           -0.451795           -0.416661          0.00772787
                   8           -0.445115           -0.420218          0.00753606
                   9           -0.416908            -0.41985          0.00670769
                  10           -0.385715           -0.416436          0.00685063
                  11           -0.391296           -0.414151          0.00659807
                  12           -0.428968           -0.415386          0.00616269
                  13           -0.404383           -0.414539          0.00574646
                  14           -0.386821            -0.41256          0.00566682
                  15           -0.423871           -0.413314          0.00533897
                  16           -0.434264           -0.414623          0.00516336
                  17           -0.390604            -0.41321          0.00504924
                  18             -0.3999           -0.412471          0.00482257
                  19           -0.403955           -0.412022          0.00458953
                  20           -0.454144           -0.414129          0.00481911
                  21           -0.475758           -0.417063          0.00540993
                  22           -0.465431           -0.419262          0.00559294
                  23           -0.432828           -0.419852          0.00538078
                  24           -0.402013           -0.419108          0.00520766
                  25           -0.411919           -0.418821          0.00500729
                  26           -0.443923           -0.419786           0.0049069
                  27           -0.388362           -0.418622          0.00486123
                  28           -0.403136           -0.418069          0.00471897
                  29           -0.420231           -0.418144          0.00455684
                  30           -0.425988           -0.418405          0.00441244
                  31           -0.383987           -0.417295          0.00440757
                  32           -0.418201           -0.417323          0.00426993
                  33           -0.446612           -0.418211          0.00423177
                  34           -0.460984           -0.419469          0.00429023
                  35           -0.434548             -0.4199          0.00418923
                  36           -0.474572           -0.421418          0.00433942
                  37           -0.471964           -0.422785          0.00443196
                  38           -0.476143           -0.424189          0.00453231
                  39           -0.421668           -0.424124          0.00441656
                  40           -0.385413           -0.423156           0.0044109
                  41           -0.388086           -0.422301          0.00438547
                  42            -0.37141           -0.421089           0.0044453
                  43           -0.396343           -0.420514          0.00437901
                  44           -0.395359           -0.419942          0.00431665
                  45            -0.42011           -0.419946          0.00422072
                  46           -0.462309           -0.420867          0.00422825
                  47           -0.463199           -0.421767          0.00423313
                  48           -0.397783           -0.421268          0.00417433
                  49           -0.398016           -0.420793          0.00411602
                  50            -0.38034           -0.419984          0.00411245
