#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                   1           0.0447171           0.0447171                   0
                   2           0.0425453           0.0436312         0.000767833
                   3           0.0407659           0.0426761          0.00093283
                   4           0.0419916            0.042505         0.000715146
                   5            0.041596           0.0423232         0.000594773
                   6           0.0407468           0.0420604         0.000550625
                   7             0.03863           0.0415704          0.00065468
                   8           0.0423355            0.041666         0.000579789
                   9           0.0460247           0.0421503         0.000688539
                  10           0.0429534           0.0422306          0.00062435
                  11           0.0402798           0.0420533         0.000592243
                  12           0.0414325           0.0420015         0.000545144
                  13           0.0412371           0.0419427         0.000506371
                  14           0.0429577           0.0420152         0.000475363
                  15           0.0428998           0.0420742         0.000447315
                  16           0.0404317           0.0419716         0.000430976
                  17           0.0417522           0.0419586         0.000405817
                  18            0.043855            0.042064         0.000396712
                  19            0.040013           0.0419561         0.000390243
                  20           0.0425118           0.0419838         0.000371719
                  21           0.0424616           0.0420066         0.000354714
                  22           0.0438704           0.0420913         0.000348561
                  23           0.0472643           0.0423162         0.000399432
                  24           0.0406634           0.0422474          0.00038868
                  25           0.0430908           0.0422811         0.000374594
                  26           0.0471914             0.04247         0.000405006
                  27           0.0457875           0.0425928          0.00040822
                  28           0.0415661           0.0425562         0.000395284
                  29           0.0440253           0.0426068         0.000384886
                  30           0.0456129            0.042707         0.000384879
                  31           0.0408859           0.0426483         0.000376921
                  32           0.0448943           0.0427185          0.00037162
                  33           0.0415474            0.042683         0.000362049
                  34           0.0458183           0.0427752         0.000362954
                  35           0.0416354           0.0427426         0.000354042
                  36           0.0452133           0.0428113         0.000350796
                  37           0.0443512           0.0428529         0.000343775
                  38               0.046           0.0429357         0.000344561
                  39           0.0452405           0.0429948         0.000340756
                  40           0.0413752           0.0429543         0.000334634
                  41           0.0409985           0.0429066         0.000329855
                  42           0.0472568           0.0430102         0.000337872
                  43           0.0411352           0.0429666         0.000332816
                  44           0.0399862           0.0428988         0.000332073
                  45           0.0423126           0.0428858          0.00032495
                  46           0.0449374           0.0429304         0.000320932
                  47           0.0439953           0.0429531         0.000314902
                  48           0.0416683           0.0429263         0.000309477
                  49           0.0439679           0.0429476          0.00030389
                  50            0.042267           0.0429339         0.000298117
