#     BLOCK:  ACTUAL_H:  H_AVE:   H_AVE:ERROR:
           1   -0.443867   -0.443867           0
           2   -0.413988   -0.428928   0.0105638
           3   -0.389367   -0.415741   0.0128657
           4   -0.403186   -0.412602   0.0100248
           5   -0.386058   -0.407293   0.0093201
           6   -0.409841   -0.407718  0.00777642
           7   -0.377062   -0.403339  0.00780182
           8   -0.406573   -0.403743  0.00683706
           9   -0.400206    -0.40335  0.00608867
          10   -0.399387   -0.402954  0.00549268
          11   -0.383568   -0.401191  0.00526849
          12   -0.402227   -0.401278  0.00483016
          13   -0.415701   -0.402387  0.00458427
          14    -0.40438    -0.40253  0.00425903
          15   -0.407354   -0.402851  0.00398722
          16   -0.417271   -0.403752  0.00383853
          17   -0.424327   -0.404963  0.00379874
          18   -0.385531   -0.403883  0.00373795
          19   -0.390108   -0.403158  0.00361084
          20   -0.424654   -0.404233  0.00358669
          21   -0.401945   -0.404124  0.00341755
          22   -0.411467   -0.404458  0.00327847
          23   -0.427953   -0.405479  0.00329122
          24   -0.383331   -0.404556  0.00328092
          25   -0.404007   -0.404534  0.00314976
          26   -0.406367   -0.404605   0.0030294
          27   -0.427544   -0.405455    0.003034
          28   -0.417115   -0.405871  0.00295409
          29    -0.42342   -0.406476  0.00291354
          30   -0.402368   -0.406339  0.00281964
          31   -0.414272   -0.406595  0.00274027
          32   -0.420703   -0.407036  0.00268987
          33   -0.411634   -0.407175  0.00261196
          34   -0.406881   -0.407167  0.00253516
          35   -0.389572   -0.406664  0.00251207
          36   -0.425106   -0.407176  0.00249398
          37   -0.406584    -0.40716  0.00242663
          38   -0.416421   -0.407404  0.00237497
          39   -0.406804   -0.407389  0.00231413
          40   -0.409709   -0.407447    0.002257
          41   -0.402036   -0.407315  0.00220581
          42   -0.403989   -0.407235  0.00215471
          43   -0.401611   -0.407105  0.00210856
          44   -0.427215   -0.407562   0.0021096
          45   -0.386008   -0.407083   0.0021164
          46   -0.412605   -0.407203  0.00207379
          47    -0.42458   -0.407572  0.00206236
          48   -0.416348   -0.407755  0.00202748
          49   -0.404335   -0.407686   0.0019873
          50   -0.427808   -0.408088  0.00198789
          51   -0.407184    -0.40807  0.00194899
          52   -0.420823   -0.408315  0.00192688
          53   -0.374241   -0.407673   0.0019949
          54   -0.415191   -0.407812  0.00196281
          55   -0.399646   -0.407663  0.00193273
          56   -0.416414    -0.40782  0.00190452
          57   -0.405279   -0.407775  0.00187163
          58   -0.429942   -0.408157  0.00187798
          59   -0.412214   -0.408226   0.0018474
          60   -0.411703   -0.408284  0.00181752
          61   -0.408848   -0.408293  0.00178775
          62   -0.394291   -0.408067  0.00177313
